north(m) east(m),
812352.765 836168.8927,
812353.339 836172.3523,
812353.913 836175.812,
812355.2004 836180.5116,
812356.4877 836185.2113,
812357.7751 836189.9109,
812358.8071 836193.678,
812359.839 836197.445,
812361.2977 836201.8915,
812362.7563 836206.338,
812364.215 836210.7845,
812365.6737 836215.231,
812367.1323 836219.6775,
812368.591 836224.124,
812370.639 836228.6425,
812372.687 836233.161,
812374.735 836237.6795,
812376.783 836242.198,
812379.0345 836246.5435,
812381.286 836250.889,
812383.5375 836255.2345,
812385.789 836259.58,
812388.4097 836263.6917,
812391.0304 836267.8034,
812393.651 836271.915,
812396.2717 836276.0267,
812398.8061 836279.6803,
812401.3404 836283.3338,
812403.8748 836286.9874,
812406.4091 836290.6409,
812409.7573 836293.5889,
812413.1054 836296.5369,
812416.4536 836299.4849,
812419.8017 836302.4328,
812423.1499 836305.3808,
812426.498 836308.3288,
812429.9778 836309.6152,
812433.4575 836310.9015,
812436.573 836313.6613,
812439.6885 836316.4211,
812442.8039 836319.1808,
812445.9194 836321.9406,
812449.7558 836324.7387,
812453.5922 836327.5367,
812457.4285 836330.3348,
812461.2649 836333.1329,
812465.1013 836335.931,
812468.9377 836338.729,
812472.7741 836341.5271,
812476.6104 836344.3252,
812480.4468 836347.1232,
812484.2832 836349.9213,
812488.1884 836352.4613,
812492.0937 836355.0013,
812495.9989 836357.5414,
812499.9042 836360.0814,
812503.8094 836362.6214,
812507.9658 836365.2336,
812512.1221 836367.8457,
812516.2785 836370.4579,
812520.4349 836373.0701,
812524.5913 836375.6822,
812528.7476 836378.2944,
812532.904 836380.9065,
812537.0604 836383.5187,
812541.2168 836386.1309,
812545.3731 836388.743,
812549.5295 836391.3552,
812553.6394 836393.8864,
812557.7492 836396.4176,
812561.8591 836398.9488,
812565.969 836401.4799,
812570.0789 836404.0111,
812574.1887 836406.5423,
812578.2986 836409.0735,
812582.4085 836411.6047,
812586.5184 836414.1359,
812590.6282 836416.667,
812594.7381 836419.1982,
812598.848 836421.7294,
812602.9578 836424.2606,
812607.0677 836426.7918,
812611.1776 836429.323,
812615.2875 836431.8541,
812619.3973 836434.3853,
812623.5072 836436.9165,
812627.494 836439.5044,
812631.4808 836442.0922,
812635.4676 836444.6801,
812639.4544 836447.268,
812643.4412 836449.8558,
812647.428 836452.4437,
812651.4148 836455.0315,
812655.4016 836457.6194,
812659.3884 836460.2073,
812663.3752 836462.7951,
812667.362 836465.383,
812671.4313 836467.7946,
812675.5006 836470.2061,
812679.5698 836472.6177,
812683.6391 836475.0293,
812687.7084 836477.4409,
812691.7777 836479.8524,
812695.847 836482.264,
812699.9162 836484.6756,
812703.9855 836487.0871,
812708.0548 836489.4987,
812711.8339 836493.687,
812715.6705 836495.9607,
812718.5416 836497.5022,
812721.4127 836499.0437,
812723.8887 836499.7709,
812726.873 836500.006,
812730.7883 836502.1083,
812734.7036 836504.2106,
812738.6189 836506.3129,
812742.5341 836508.4151,
812746.4494 836510.5174,
812750.3647 836512.6197,
812754.28 836514.722,
812758.668 836516.6474,
812763.056 836518.5729,
812767.444 836520.4983,
812771.832 836522.4238,
812776.22 836524.3492,
812780.608 836526.2747,
812784.996 836528.2001,
812789.384 836530.1256,
812793.772 836532.051,
812798.2608 836533.733,
812802.7497 836535.415,
812807.2385 836537.097,
812811.7273 836538.779,
812816.2162 836540.461,
812820.705 836542.143,
812825.3998 836543.833,
812830.0946 836545.523,
812834.7895 836547.213,
812839.4843 836548.903,
812844.1791 836550.593,
812844.1791 836550.593,
812847.7211 836551.868,
812847.7211 836551.868,
812849.7726 836552.4077,
812854.3414 836553.6097,
812858.9102 836554.8116,
812863.479 836556.0136,
812868.0479 836557.2155,
812872.6167 836558.4175,
812877.1855 836559.6194,
812881.7543 836560.8214,
812886.3231 836562.0233,
812890.8919 836563.2253,
812895.4607 836564.4272,
812900.0296 836565.6292,
812904.5984 836566.8311,
812909.1672 836568.0331,
812913.736 836569.235,
812918.3662 836569.5447,
812922.9964 836569.8545,
812927.6265 836570.1642,
812932.2567 836570.4739,
812936.8869 836570.7836,
812941.5171 836571.0934,
812946.1473 836571.4031,
812950.7775 836571.7128,
812955.4076 836572.0225,
812960.0378 836572.3323,
812964.668 836572.642,
812968.212 836572.6803,
812971.756 836572.7187,
812975.3 836572.757,
812979.2877 836572.7927,
812983.2753 836572.8283,
812987.263 836572.864,
812993.1562 836572.9834,
812998.0494 836573.0278,
813002.9426 836573.0722,
813007.8358 836573.1166,
813012.729 836573.161,
813017.6936 836573.3673,
813022.6583 836573.5737,
813027.6229 836573.78,
813032.5876 836573.9863,
813037.5522 836574.1926,
813042.5169 836574.399,
813047.4815 836574.6053,
813052.4462 836574.8116,
813057.4108 836575.018,
813062.3755 836575.2243,
813067.3401 836575.4306,
813072.3048 836575.637,
813077.2694 836575.8433,
813082.2341 836576.0496,
813087.1987 836576.2559,
813092.1634 836576.4623,
813097.128 836576.6686,
813102.0927 836576.8749,
813107.0573 836577.0813,
813112.022 836577.2876,
813116.9866 836577.4939,
813121.9513 836577.7003,
813126.9159 836577.9066,
813131.8806 836578.1129,
813136.8452 836578.3192,
813141.8099 836578.5256,
813146.7745 836578.7319,
813151.7392 836578.9382,
813156.7038 836579.1446,
813161.6685 836579.3509,
813166.6331 836579.5572,
813171.5977 836579.7635,
813176.5624 836579.9699,
813181.527 836580.1762,
813186.4917 836580.3825,
813191.4563 836580.5889,
813196.421 836580.7952,
813201.3856 836581.0015,
813206.3503 836581.2079,
813211.3149 836581.4142,
813216.2796 836581.6205,
813221.2442 836581.8268,
813226.2089 836582.0332,
813231.1735 836582.2395,
813236.1382 836582.4458,
813241.1028 836582.6522,
813246.0675 836582.8585,
813251.0321 836583.0648,
813255.9968 836583.2712,
813260.9614 836583.4775,
813265.9261 836583.6838,
813270.8907 836583.8901,
813275.8554 836584.0965,
813280.82 836584.3028,
813285.7847 836584.5091,
813290.7493 836584.7155,
813295.714 836584.9218,
813300.6786 836585.1281,
813305.6433 836585.3345,
813310.6079 836585.5408,
813315.5725 836585.7471,
813320.5372 836585.9534,
813325.5018 836586.1598,
813330.4665 836586.3661,
813335.4311 836586.5724,
813340.3958 836586.7788,
813345.3604 836586.9851,
813350.3251 836587.1914,
813355.2897 836587.3977,
813360.2544 836587.6041,
813365.219 836587.8104,
813370.1837 836588.0167,
813375.1483 836588.2231,
813380.113 836588.4294,
813385.0776 836588.6357,
813390.0423 836588.8421,
813395.0069 836589.0484,
813399.9716 836589.2547,
813404.9362 836589.461,
813409.9009 836589.6674,
813414.8655 836589.8737,
813419.8302 836590.08,
813424.7948 836590.2864,
813429.7595 836590.4927,
813434.7241 836590.699,
813439.6888 836590.9054,
813444.6534 836591.1117,
813449.6181 836591.318,
813454.5827 836591.5243,
813459.5474 836591.7307,
813464.512 836591.937,
813468.767 836592.0774,
813473.022 836592.2178,
813477.277 836592.3582,
813481.532 836592.4986,
813485.787 836592.639,
813490.7284 836592.8065,
813495.6698 836592.974,
813500.6112 836593.1415,
813505.5527 836593.309,
813510.4941 836593.4765,
813515.4355 836593.644,
813520.3769 836593.8115,
813525.3183 836593.979,
813530.2597 836594.1465,
813535.2011 836594.314,
813540.1425 836594.4815,
813545.084 836594.649,
813550.0254 836594.8165,
813554.9668 836594.984,
813559.9082 836595.1515,
813564.8496 836595.3191,
813569.791 836595.4866,
813574.7324 836595.6541,
813579.6738 836595.8216,
813584.6153 836595.9891,
813589.5567 836596.1566,
813594.4981 836596.3241,
813599.4395 836596.4916,
813604.3809 836596.6591,
813609.3223 836596.8266,
813614.2637 836596.9941,
813619.2051 836597.1616,
813624.1466 836597.3291,
813629.088 836597.4966,
813634.0294 836597.6641,
813638.9708 836597.8316,
813643.9122 836597.9991,
813648.8536 836598.1666,
813653.795 836598.3341,
813658.7364 836598.5016,
813663.6779 836598.6691,
813668.6193 836598.8366,
813673.5607 836599.0041,
813678.5021 836599.1716,
813683.4435 836599.3391,
813688.3849 836599.5066,
813693.3263 836599.6741,
813698.2677 836599.8416,
813703.2092 836600.0091,
813708.1506 836600.1766,
813713.092 836600.3441,
813718.0334 836600.5116,
813722.9748 836600.6792,
813727.9162 836600.8467,
813732.8576 836601.0142,
813737.799 836601.1817,
813742.7405 836601.3492,
813747.6819 836601.5167,
813752.6233 836601.6842,
813757.5647 836601.8517,
813762.5061 836602.0192,
813767.4475 836602.1867,
813772.3889 836602.3542,
813777.3303 836602.5217,
813782.2718 836602.6892,
813787.2132 836602.8567,
813792.1546 836603.0242,
813797.096 836603.1917,
813802.0374 836603.3592,
813807.1374 836603.5603,
813812.1044 836603.7569,
813817.0714 836603.9534,
813822.0384 836604.1499,
813827.0054 836604.3464,
813831.9724 836604.543,
813836.9394 836604.7395,
813841.9064 836604.936,
813846.8734 836605.1326,
813851.8404 836605.3291,
813856.8074 836605.5256,
813861.7744 836605.7221,
813866.7413 836605.9187,
813871.7083 836606.1152,
813876.6753 836606.3117,
813881.6423 836606.5083,
813886.6093 836606.7048,
813891.5763 836606.9013,
813896.5433 836607.0978,
813901.5103 836607.2944,
813906.4773 836607.4909,
813911.4443 836607.6874,
813916.4113 836607.884,
813921.3783 836608.0805,
813926.3453 836608.277,
813931.3123 836608.4735,
813936.2793 836608.6701,
813941.2463 836608.8666,
813946.2133 836609.0631,
813951.1803 836609.2597,
813956.1473 836609.4562,
813961.1143 836609.6527,
813966.0813 836609.8492,
813971.0483 836610.0458,
813976.0153 836610.2423,
