north(m) east(m),
815441.948 835294.6173,
815442.5367 835291.3012,
815443.1253 835287.985,
815443.2526 835285.1616,
815443.3798 835282.3381,
815443.8605 835277.4181,
815444.3411 835272.498,
815444.8125 835268.4864,
815445.2838 835264.4747,
815445.7552 835260.4631,
815446.0321 835257.8042,
815446.2899 835255.3302,
815446.9124 835248.9461,
815447.3808 835244.0417,
815447.8492 835239.1373,
815448.3176 835234.2329,
815448.786 835229.3285,
815449.2583 835224.5363,
815449.7307 835219.7441,
815450.203 835214.9518,
815450.6753 835210.1596,
815451.1476 835205.3674,
815451.62 835200.5752,
815452.0923 835195.783,
815452.5646 835190.9907,
815453.037 835186.1985,
815453.5093 835181.4063,
815453.9816 835176.6141,
815454.4539 835171.8218,
815454.9263 835167.0296,
815455.3986 835162.2374,
815455.8808 835158.0586,
815456.363 835153.8797,
815456.8452 835149.7009,
815457.3273 835145.5221,
815457.8095 835141.3432,
815458.2917 835137.1644,
815459.0682 835132.3427,
815459.8447 835127.5209,
815460.6212 835122.6992,
815461.3977 835117.8775,
815462.1742 835113.0557,
815462.9506 835108.234,
815463.7271 835103.4122,
815464.5036 835098.5905,
815465.2801 835093.7688,
815466.0566 835088.947,
815466.8331 835084.1253,
815467.6101 835079.2838,
815468.3871 835074.4423,
815469.1642 835069.6007,
815469.9412 835064.7592,
815470.7182 835059.9177,
815471.4424 835055.4053,
815472.1666 835050.8929,
815472.8908 835046.3805,
815473.6151 835041.8681,
815474.3393 835037.3557,
815475.0635 835032.8433,
815475.7877 835028.3309,
815477.0089 835023.9423,
815478.2301 835019.5537,
815479.4513 835015.1651,
815480.6725 835010.7765,
815481.8937 835006.3878,
815483.1149 835001.9992,
815484.3361 834997.6106,
815485.5573 834993.222,
815487.1301 834988.9747,
815488.703 834984.7274,
815490.2758 834980.48,
815491.8487 834976.2327,
815493.4215 834971.9854,
815495.1895 834967.9903,
815496.9574 834963.9951,
815498.7254 834960,
815500.4934 834956.0048,
815502.2613 834952.0097,
815504.0293 834948.0145,
815506.2318 834943.7428,
815508.4343 834939.4711,
815510.6368 834935.1995,
815512.8393 834930.9278,
815515.0418 834926.6561,
815517.3017 834922.7491,
815519.5616 834918.8421,
815521.8216 834914.9351,
815524.0815 834911.028,
815526.3414 834907.121,
815528.6013 834903.214,
815530.8506 834899.8856,
815533.0999 834896.5571,
815535.3493 834893.2287,
815537.5986 834889.9002,
815539.8479 834886.5718,
815542.4826 834883.076,
815545.1174 834879.5803,
815547.7521 834876.0845,
815550.3869 834872.5888,
815553.0216 834869.093,
815555.6563 834865.5972,
815558.2911 834862.1015,
815560.9258 834858.6057,
815563.8648 834855.1247,
815566.8037 834851.6438,
815569.7427 834848.1628,
815572.6816 834844.6818,
815575.2188 834841.6534,
815577.756 834838.6251,
815580.2931 834835.5967,
815582.8303 834832.5683,
815585.4895 834828.8259,
815588.1488 834825.0834,
815590.808 834821.341,
815592.3107 834818.9643,
815593.8133 834816.5875,
815593.8133 834816.5875,
815596.12 834812.939,
815598.3473 834809.2602,
815600.5747 834805.5813,
815602.802 834801.9025,
815605.0293 834798.2237,
815607.2567 834794.5448,
815609.484 834790.866,
815609.7453 834790.4344,
815610.8819 834788.2553,
815612.3198 834785.4985,
815613.7577 834782.7416,
815616.0519 834778.4717,
815618.3461 834774.2018,
815620.6402 834769.932,
815622.9344 834765.6621,
815625.2286 834761.3922,
815627.1458 834757.226,
815629.063 834753.0599,
815630.9802 834748.8937,
815632.8974 834744.7275,
815634.8146 834740.5613,
815636.7318 834736.3952,
815638.649 834732.229,
815638.649 834732.229,
815640.3123 834727.7436,
815643.6202 834725.7163,
815646.8397 834723.9272,
815648.5839 834719.2903,
815650.328 834714.6534,
815652.0722 834710.0165,
815653.8163 834705.3796,
815655.5605 834700.7427,
815657.3046 834696.1058,
815659.0488 834691.4689,
815660.7929 834686.832,
815660.7929 834686.832,
815661.7072 834683.9719,
815662.5921 834681.2037,
815663.477 834678.4355,
815664.9594 834672.6618,
815666.0962 834668.2344,
815667.2329 834663.8071,
815667.9818 834659.3151,
815668.7306 834654.823,
815669.4795 834650.331,
815670.2283 834645.8389,
815670.9569 834641.3169,
815671.6854 834636.7948,
815672.3257 834632.8207,
815672.966 834628.8465,
815673.6063 834624.8724,
815674.2975 834621.0176,
815674.9887 834617.1627,
815675.6799 834613.3079,
815676.3711 834609.453,
815678.13 834605.7098,
815679.8888 834601.9665,
815681.6477 834598.2233,
815683.9478 834595.2467,
815686.2478 834592.2702,
815688.5479 834589.2936,
815691.5944 834586.4069,
815694.6408 834583.5201,
815694.7813 834580.6964,
815694.9218 834577.8726,
815700.0513 834575.4786,
815704.1071 834573.7344,
815708.0578 834572.0296,
815712.0085 834570.3249,
815715.9592 834568.6201,
815719.9099 834566.9154,
815723.8606 834565.2106,
815723.8606 834565.2106,
815726.5666 834562.7753,
815726.5666 834562.7753,
815728.3254 834560.3399,
815728.3254 834560.3399,
815729.6784 834557.2281,
815730.6723 834553.5041,
815731.6661 834549.7801,
815732.66 834546.056,
815733.6538 834542.332,
815734.7779 834538.4373,
815735.9019 834534.5427,
815737.026 834530.648,
815738.1545 834526.295,
815739.283 834521.942,
815740.6133 834517.4188,
815741.9436 834512.8955,
815743.2738 834508.3723,
815744.6041 834503.849,
815745.9344 834499.3258,
815747.2647 834494.8026,
815748.5949 834490.2793,
815749.9252 834485.7561,
815751.2555 834481.2328,
815752.5858 834476.7096,
815753.916 834472.1863,
815755.2463 834467.6631,
815756.3782 834463.8146,
815757.51 834459.966,
815758.7534 834455.3933,
815759.9967 834450.8207,
815761.2401 834446.248,
815762.4834 834441.6753,
815763.7862 834436.8841,
815765.0889 834432.0929,
815766.3917 834427.3017,
815767.6944 834422.5106,
815768.9972 834417.7194,
815770.2999 834412.9282,
815771.6027 834408.137,
815771.6027 834408.137,
815773.5625 834407.7212,
815773.5625 834407.7212,
815777.7673 834406.829,
815778.6812 834404.4698,
815779.5951 834402.1106,
815779.9543 834401.1834,
815781.2475 834397.8452,
815781.2475 834397.8452,
815784.3011 834394.531,
815786.0151 834392.6707,
815787.729 834390.8104,
815787.9941 834390.5227,
815790.3108 834388.0082,
815790.7529 834384.4161,
815791.195 834380.824,
815795.0358 834377.9227,
815798.8767 834375.0213,
815802.7175 834372.12,
815806.5583 834369.2186,
815810.1992 834366.5128,
815813.8402 834363.807,
815817.4811 834361.1012,
815821.122 834358.3954,
815824.7629 834355.6896,
815828.4039 834352.9838,
815832.0448 834350.278,
815835.6683 834347.1252,
815839.2919 834343.9723,
815842.9154 834340.8195,
815846.5389 834337.6666,
815850.1625 834334.5138,
815853.786 834331.3609,
815857.1967 834328.8266,
815860.6073 834326.2923,
815864.018 834323.758,
815867.4286 834321.2237,
815870.8393 834318.6894,
815874.2499 834316.1551,
815878.2645 834313.2134,
815882.2791 834310.2717,
815886.2938 834307.3301,
815890.3084 834304.3884,
815894.323 834301.4467,
815895.4691 834301.7723,
815899.4698 834302.9091,
815899.4698 834302.9091,
815902.3388 834300.769,
815904.0209 834299.5143,
815905.807 834298.182,
815905.807 834298.182,
815908.0633 834295.0854,
815910.0647 834292.3387,
815912.066 834289.592,
815912.066 834289.592,
815914.029 834287.45,
815914.029 834287.45,
815916.52 834285.546,
815920.1654 834282.8377,
815923.8109 834280.1294,
815927.4563 834277.4211,
815931.1017 834274.7129,
815934.7471 834272.0046,
815938.3926 834269.2963,
815942.038 834266.588,
815945.8785 834263.8345,
815949.719 834261.081,
815953.5595 834258.3275,
815957.4 834255.574,
815961.284 834252.7045,
815965.168 834249.835,
815969.052 834246.9655,
815972.936 834244.096,
815976.82 834241.2265,
815980.704 834238.357,
815984.588 834235.4875,
815988.472 834232.618,
815992.356 834229.7485,
815996.24 834226.879,
816000.043 834224.0631,
816003.26 834221.6811,
816006.477 834219.299,
816009.694 834216.917,
816012.911 834214.535,
816016.8023 834211.495,
816020.6937 834208.455,
816024.585 834205.415,
816028.1069 834202.6634,
816031.6288 834199.9118,
