north(m) east(m),
816462.8405 833864.5265,
816462.434 833868.881,
816463.396 833872.5287,
816464.358 833876.1763,
816465.32 833879.824,
816467.0545 833884.3755,
816468.789 833888.927,
816468.2815 833892.682,
816467.774 833896.437,
816467.774 833899.0755,
816467.774 833901.714,
816468.2003 833905.9813,
816468.6267 833910.2487,
816469.053 833914.516,
816469.6337 833919.277,
816470.2143 833924.038,
816470.795 833928.799,
816471.4707 833931.9244,
816472.1464 833935.0498,
816472.8409 833939.9284,
816473.5354 833944.8069,
816474.2298 833949.6855,
816474.9243 833954.564,
816475.0092 833958.0027,
816475.0941 833961.4414,
816476.375 833965.3799,
816477.6558 833969.3185,
816478.9367 833973.257,
816480.2175 833977.1955,
816480.7256 833981.4187,
816481.2336 833985.6419,
816481.7417 833989.8652,
816482.2498 833994.0884,
816482.7578 833998.3116,
816483.2659 834002.5348,
816483.9968 834006.5066,
816484.7278 834010.4785,
816485.4587 834014.4503,
816486.4825 834018.6608,
816487.5062 834022.8712,
816488.53 834027.0817,
816489.5538 834031.2922,
816490.5776 834035.5027,
816491.6013 834039.7131,
816492.6251 834043.9236,
816493.2134 834047.5567,
816493.8017 834051.1899,
816494.39 834054.823,
816494.7679 834058.5203,
816495.1459 834062.2176,
816495.5238 834065.9149,
816495.6842 834070.4929,
816495.8447 834075.0708,
816496.0051 834079.6488,
816495.8179 834084.061,
816495.6307 834088.4731,
816495.1315 834093.3363,
816494.6324 834098.1995,
816494.1332 834103.0627,
816493.7076 834106.8812,
816493.2819 834110.6997,
816492.8563 834114.5182,
816492.3026 834119.4858,
816491.7489 834124.4534,
816491.1952 834129.4209,
816490.6415 834134.3885,
816490.0877 834139.3561,
816489.534 834144.3237,
816488.9803 834149.2912,
816488.4266 834154.2588,
816487.7611 834158.4422,
816487.0956 834162.6256,
816486.43 834166.8089,
816485.7645 834170.9923,
816484.8771 834175.393,
816483.9897 834179.7937,
816483.1023 834184.1944,
816482.215 834188.5952,
816481.3276 834192.9959,
816480.4402 834197.3966,
816479.5528 834201.7973,
816478.3757 834206.3574,
816477.1985 834210.9175,
816476.0214 834215.4776,
816474.8442 834220.0376,
816473.6671 834224.5977,
816472.4899 834229.1578,
816471.3128 834233.7179,
816470.0632 834237.8307,
816468.8136 834241.9434,
816467.564 834246.0562,
816466.3145 834250.1689,
816465.0649 834254.2817,
