north(m) east(m),
818109.2385 842279.3782,
818105.5167 842276.1856,
818101.7949 842272.9929,
818098.073 842269.8003,
818094.3512 842266.6076,
818090.6294 842263.415,
818086.9076 842260.2223,
818083.1857 842257.0297,
818079.4639 842253.837,
818075.7421 842250.6444,
818072.3131 842247.0884,
818068.8841 842243.5324,
818065.4551 842239.9764,
818062.0261 842236.4204,
818058.5971 842232.8644,
818056.4698 842229.4354,
818054.3426 842226.0064,
818052.2153 842222.5774,
818050.0881 842219.1484,
818047.9608 842215.7194,
818049.3482 842211.3719,
818050.7355 842207.0244,
818052.1229 842202.6769,
818048.9781 842199.3276,
818045.8334 842195.9784,
818042.6886 842192.6291,
818039.5438 842189.2799,
818036.399 842185.9306,
818033.2543 842182.5813,
818030.1095 842179.2321,
818026.9647 842175.8828,
818023.5346 842172.7928,
818020.1044 842169.7029,
818016.6743 842166.6129,
818013.2441 842163.523,
818009.814 842160.433,
818006.3838 842157.3431,
818002.9537 842154.2531,
817999.2495 842151.2104,
817995.5454 842148.1676,
817991.8412 842145.1249,
817988.5227 842141.5028,
817985.2041 842137.8808,
817981.8856 842134.2587,
817978.567 842130.6366,
817975.2485 842127.0146,
817971.9299 842123.3925,
817968.6114 842119.7704,
817965.2928 842116.1484,
817961.9743 842112.5263,
817961.9743 842112.5263,
817959.2974 842109.6045,
817956.5854 842106.5618,
817953.8734 842103.5191,
817951.1614 842100.4764,
817949.9708 842095.9123,
817948.7802 842091.3483,
817947.5895 842086.7842,
817946.3989 842082.2201,
817946.2588 842077.5028,
817946.1187 842072.7855,
817945.9786 842068.0681,
817945.8385 842063.3508,
817945.6985 842058.6335,
817945.5584 842053.9162,
817945.4183 842049.1988,
817945.2782 842044.4815,
817945.1381 842039.7642,
817942.5223 842035.5804,
817939.9066 842031.3967,
817937.2908 842027.2129,
817934.6751 842023.0291,
817932.0593 842018.8453,
817929.4435 842014.6616,
817926.8278 842010.4778,
817924.212 842006.294,
817921.6512 842002.0727,
817919.0904 841997.8514,
817916.5296 841993.63,
817913.9688 841989.4087,
817911.408 841985.1874,
817908.8472 841980.9661,
817906.2864 841976.7448,
817903.7256 841972.5235,
817901.1648 841968.3021,
817898.604 841964.0808,
817896.0433 841959.8595,
817893.4825 841955.6382,
817890.9217 841951.4169,
817888.3609 841947.1955,
817885.8001 841942.9742,
817883.2393 841938.7529,
817880.6785 841934.5316,
817878.1177 841930.3103,
817875.5569 841926.089,
817872.9961 841921.8676,
817870.4353 841917.6463,
817867.8745 841913.425,
817865.3137 841909.2037,
817862.7529 841904.9824,
817860.1921 841900.761,
817857.6313 841896.5397,
817855.0705 841892.3184,
817852.5097 841888.0971,
817849.9489 841883.8758,
817847.3881 841879.6545,
817844.8273 841875.4331,
817842.2665 841871.2118,
817839.7058 841866.9905,
817837.145 841862.7692,
817834.5842 841858.5479,
817832.0234 841854.3265,
817829.4626 841850.1052,
817826.9018 841845.8839,
817824.341 841841.6626,
817821.7802 841837.4413,
817819.2194 841833.22,
817816.6586 841828.9986,
817814.0978 841824.7773,
817811.537 841820.556,
817809.709 841817.0973,
817807.881 841813.6385,
817806.053 841810.1798,
817804.225 841806.721,
817802.1424 841802.9526,
817800.0598 841799.1842,
817797.9772 841795.4158,
817795.8946 841791.6474,
817793.812 841787.879,
817791.5874 841783.854,
817789.3629 841779.8289,
817787.1383 841775.8039,
817784.9137 841771.7788,
817782.6892 841767.7538,
817780.4646 841763.7287,
817778.8842 841760.8692,
817777.3038 841758.0097,
817775.3303 841754.4402,
817773.4717 841751.0783,
817771.613 841747.7165,
817769.0713 841743.1193,
817766.747 841738.9153,
817764.4228 841734.7112,
817762.0985 841730.5072,
817759.7742 841726.3032,
817757.4499 841722.0992,
817755.1257 841717.8951,
817752.8014 841713.6911,
817750.4771 841709.4871,
817748.1528 841705.2831,
817745.8286 841701.079,
817743.5043 841696.875,
817741.18 841692.671,
817738.7829 841688.3304,
817736.3858 841683.9898,
817733.9888 841679.6492,
817731.5917 841675.3085,
817729.1946 841670.9679,
