north(m) east(m),
818141.7248 836635.6614,
818137.0573 836635.2321,
818132.3898 836634.8028,
818129.4442 836634.5319,
818126.4985 836634.261,
818122.2249 836633.8679,
818117.9513 836633.4749,
818113.6777 836633.0818,
818109.4041 836632.6888,
818105.1305 836632.2957,
818100.2129 836632.2814,
818095.2953 836632.2672,
818090.3777 836632.2529,
818085.4601 836632.2386,
818080.5424 836632.2243,
818075.6248 836632.2101,
818070.7072 836632.1958,
818065.7896 836632.1815,
818060.9399 836632.1912,
818056.0901 836632.2009,
818051.2404 836632.2106,
818046.5513 836632.8095,
818041.8621 836633.4083,
818037.0005 836633.8923,
818032.1388 836634.3762,
818027.2772 836634.8602,
818022.4155 836635.3442,
818017.5539 836635.8281,
818012.6922 836636.3121,
818007.9699 836637.0326,
818003.2476 836637.753,
817998.5253 836638.4735,
817993.803 836639.1939,
817989.0807 836639.9144,
817984.3584 836640.6348,
817979.6361 836641.3553,
817974.8263 836642.0553,
817970.0166 836642.7554,
817965.2068 836643.4554,
817960.3971 836644.1554,
817955.5873 836644.8555,
817950.7776 836645.5555,
817945.9678 836646.2555,
817941.158 836646.9556,
817936.3483 836647.6556,
817931.5385 836648.3556,
817926.7288 836649.0557,
817921.919 836649.7557,
817918.1704 836650.3013,
817914.4219 836650.8469,
817910.6733 836651.3925,
817906.3765 836652.0179,
817902.0797 836652.6433,
817897.7828 836653.2687,
817893.486 836653.8941,
817889.117 836654.5236,
817884.748 836655.153,
817880.9772 836655.7942,
817877.2065 836656.4354,
817873.4357 836657.0766,
817868.5646 836657.9049,
817864.759 836658.552,
817860.3347 836659.2864,
817855.9104 836660.0208,
817851.486 836660.7552,
817847.0617 836661.4896,
817842.6374 836662.224,
817840.0569 836662.6524,
817837.4764 836663.0807,
817833.2418 836663.7836,
817829.0073 836664.4865,
817824.7727 836665.1893,
817820.5381 836665.8922,
817816.707 836666.5281,
817813.159 836667.1171,
817809.6109 836667.706,
817803.9196 836668.6132,
817798.9932 836669.3933,
817794.0667 836670.1735,
817789.1403 836670.9537,
817784.2139 836671.7338,
817779.2875 836672.514,
817774.361 836673.2942,
817769.4346 836674.0743,
817764.5082 836674.8545,
817759.5818 836675.6347,
817754.6553 836676.4149,
817749.7289 836677.195,
817744.8025 836677.9752,
817739.8761 836678.7554,
817734.9497 836679.5355,
817730.0232 836680.3157,
817725.0968 836681.0959,
817720.1704 836681.876,
817715.244 836682.6562,
817710.3175 836683.4364,
817705.3911 836684.2165,
817700.4647 836684.9967,
817695.5383 836685.7769,
817690.6118 836686.557,
817685.6854 836687.3372,
817680.759 836688.1174,
817675.8326 836688.8976,
817670.9061 836689.6777,
817665.9797 836690.4579,
817661.0533 836691.2381,
817656.1269 836692.0182,
817651.2005 836692.7984,
817646.274 836693.5786,
817641.3476 836694.3587,
817636.4212 836695.1389,
817631.4948 836695.9191,
817626.5683 836696.6992,
817621.6419 836697.4794,
817616.7155 836698.2596,
817611.7891 836699.0397,
817606.8626 836699.8199,
817601.9362 836700.6001,
817597.0098 836701.3803,
817592.0834 836702.1604,
817587.157 836702.9406,
817582.2305 836703.7208,
817577.3041 836704.5009,
817572.3777 836705.2811,
817567.4513 836706.0613,
817562.5248 836706.8414,
817557.5984 836707.6216,
817552.672 836708.4018,
817547.7456 836709.1819,
817542.8191 836709.9621,
817537.8927 836710.7423,
817532.9663 836711.5224,
817528.0399 836712.3026,
817523.1134 836713.0828,
817518.187 836713.863,
817513.2606 836714.6431,
817508.3342 836715.4233,
817503.4078 836716.2035,
817498.4813 836716.9836,
817493.5549 836717.7638,
817488.6285 836718.544,
817483.7021 836719.3241,
817478.7756 836720.1043,
817473.8492 836720.8845,
817468.9228 836721.6646,
817463.9964 836722.4448,
817459.0699 836723.225,
817454.1435 836724.0051,
817449.2171 836724.7853,
817444.2907 836725.5655,
817439.3643 836726.3457,
817434.4378 836727.1258,
817429.5114 836727.906,
817424.585 836728.6862,
817419.6586 836729.4663,
817414.7321 836730.2465,
817409.8057 836731.0267,
817404.8793 836731.8068,
817399.9529 836732.587,
817395.0264 836733.3672,
817390.1 836734.1473,
817385.1736 836734.9275,
817380.2472 836735.7077,
817375.3207 836736.4878,
817370.3943 836737.268,
817365.4679 836738.0482,
817360.5415 836738.8284,
817355.6151 836739.6085,
817350.6886 836740.3887,
817345.7622 836741.1689,
817340.8358 836741.949,
817335.9094 836742.7292,
817330.9829 836743.5094,
817326.0565 836744.2895,
817321.1301 836745.0697,
817316.2037 836745.8499,
817311.2772 836746.63,
817306.3508 836747.4102,
817301.4244 836748.1904,
817296.498 836748.9705,
817291.5716 836749.7507,
817286.6451 836750.5309,
817281.7187 836751.3111,
817276.7923 836752.0912,
817271.8659 836752.8714,
817266.9394 836753.6516,
817262.013 836754.4317,
817257.0866 836755.2119,
817252.1602 836755.9921,
817247.2337 836756.7722,
817242.3073 836757.5524,
817237.3809 836758.3326,
817232.4545 836759.1127,
817227.528 836759.8929,
817222.6016 836760.6731,
817217.6752 836761.4532,
817212.7488 836762.2334,
817207.8224 836763.0136,
817202.8959 836763.7938,
817197.9695 836764.5739,
817193.0431 836765.3541,
817188.1167 836766.1343,
817183.1902 836766.9144,
817178.2638 836767.6946,
817173.3374 836768.4748,
817168.411 836769.2549,
817163.4845 836770.0351,
817158.5581 836770.8153,
817153.6317 836771.5954,
817148.7053 836772.3756,
817143.7789 836773.1558,
817138.8524 836773.9359,
817133.926 836774.7161,
817128.9996 836775.4963,
817124.0732 836776.2765,
817119.1467 836777.0566,
817114.2203 836777.8368,
817109.2939 836778.617,
817104.3675 836779.3971,
817099.441 836780.1773,
817094.5146 836780.9575,
817089.5882 836781.7376,
817084.6618 836782.5178,
817079.7353 836783.298,
817074.8089 836784.0781,
817069.8825 836784.8583,
817064.9561 836785.6385,
817060.0297 836786.4186,
817055.1032 836787.1988,
817050.1768 836787.979,
817045.2504 836788.7592,
817040.324 836789.5393,
817035.3975 836790.3195,
817030.4711 836791.0997,
817025.5447 836791.8798,
817020.6183 836792.66,
817015.6918 836793.4402,
817010.7654 836794.2203,
817005.839 836795.0005,
817000.9126 836795.7807,
816995.9862 836796.5608,
816991.0597 836797.341,
816986.1333 836798.1212,
816981.2069 836798.9013,
816976.2805 836799.6815,
816971.354 836800.4617,
816966.4276 836801.2418,
816961.5012 836802.022,
816956.5748 836802.8022,
816951.6483 836803.5824,
816946.7219 836804.3625,
816941.7955 836805.1427,
816936.8691 836805.9229,
816931.9427 836806.703,
816927.0162 836807.4832,
816922.0898 836808.2634,
816917.1634 836809.0435,
816912.237 836809.8237,
816907.3105 836810.6039,
816902.3841 836811.384,
816897.4577 836812.1642,
816892.5313 836812.9444,
816887.6048 836813.7245,
816882.6784 836814.5047,
816877.752 836815.2849,
816872.8256 836816.0651,
816867.8991 836816.8452,
816862.9727 836817.6254,
816858.0463 836818.4056,
816853.1199 836819.1857,
816848.1935 836819.9659,
816843.267 836820.7461,
816838.3406 836821.5262,
816833.4142 836822.3064,
816828.4878 836823.0866,
816823.5613 836823.8667,
816818.6349 836824.6469,
816813.7085 836825.4271,
816808.7821 836826.2072,
816803.8556 836826.9874,
816798.9292 836827.7676,
816794.0028 836828.5478,
816789.0764 836829.3279,
816784.15 836830.1081,
816779.2235 836830.8883,
816774.2971 836831.6684,
816769.3707 836832.4486,
816764.4443 836833.2288,
816759.5178 836834.0089,
816754.5914 836834.7891,
816749.665 836835.5693,
816744.7386 836836.3494,
816739.8121 836837.1296,
816734.8857 836837.9098,
816729.9593 836838.6899,
816725.0329 836839.4701,
816720.1064 836840.2503,
816715.18 836841.0305,
816710.2536 836841.8106,
816705.3272 836842.5908,
816700.4008 836843.371,
816695.4743 836844.1511,
816690.5479 836844.9313,
