north(m) east(m),
816761.7207 838113.2703,
816765.421 838116.6224,
816769.1214 838119.9745,
816772.8218 838123.3266,
816776.5222 838126.6788,
816780.2226 838130.0309,
816783.923 838133.383,
816787.6234 838136.7351,
816790.0749 838139.7119,
816792.5263 838142.6886,
816794.9778 838145.6654,
816794.9778 838145.6654,
816796.7542 838147.8225,
816798.9282 838150.8661,
816801.1022 838153.9097,
816803.2762 838156.9533,
816805.3053 838159.9607,
816807.3343 838162.968,
816809.3634 838165.9754,
816809.3634 838165.9754,
816810.2302 838167.8322,
816810.2302 838167.8322,
816811.7848 838171.1624,
816811.7848 838171.1624,
816813.6722 838174.3918,
816813.6722 838174.3918,
816815.2332 838177.0628,
816816.0303 838181.0122,
816816.8275 838184.9617,
816817.6246 838188.9111,
816818.766 838193.6396,
816819.9073 838198.368,
816820.8536 838202.508,
816821.7999 838206.648,
816821.7999 838206.648,
816822.5161 838209.7816,
816823.5353 838214.3918,
816824.5545 838219.0019,
816825.5737 838223.6121,
816826.5929 838228.2223,
816827.6121 838232.8324,
816828.6313 838237.4426,
816829.6505 838242.0527,
816830.6697 838246.6629,
816831.6889 838251.2731,
816832.7081 838255.8832,
816833.7273 838260.4934,
816834.7465 838265.1036,
816835.7657 838269.7137,
816836.7849 838274.3239,
816837.8041 838278.934,
816838.8233 838283.5442,
816839.9475 838288.2004,
816841.0716 838292.8565,
816842.1958 838297.5127,
816843.32 838302.1689,
816844.4441 838306.825,
816845.5683 838311.4812,
816846.6092 838316.1808,
816847.6502 838320.8805,
816848.6911 838325.5801,
816849.7321 838330.2798,
816850.773 838334.9794,
816851.8139 838339.6791,
816852.8549 838344.3787,
816853.8958 838349.0784,
816854.9368 838353.778,
816855.9777 838358.4776,
816857.0186 838363.1773,
816858.0596 838367.8769,
816859.1005 838372.5766,
816860.1414 838377.2762,
816861.1824 838381.9759,
816862.2233 838386.6755,
816863.2643 838391.3752,
816864.3052 838396.0748,
816865.3814 838400.9334,
816866.4575 838405.7921,
816867.5337 838410.6507,
816868.6098 838415.5094,
816869.686 838420.368,
816870.7621 838425.2267,
816871.8383 838430.0853,
816872.9144 838434.944,
816873.9906 838439.8026,
816875.0668 838444.6613,
816876.1429 838449.5199,
816877.2191 838454.3786,
816878.2952 838459.2372,
816879.3714 838464.0959,
816880.4475 838468.9545,
816881.5237 838473.8132,
816882.5998 838478.6718,
816883.676 838483.5305,
816884.7522 838488.3891,
816885.8283 838493.2478,
816886.9045 838498.1064,
816887.9806 838502.9651,
816889.0568 838507.8237,
816890.1329 838512.6824,
816891.2091 838517.541,
816892.2852 838522.3997,
816893.3614 838527.2583,
816894.3362 838530.9477,
816895.3109 838534.6372,
816896.2857 838538.3266,
816897.2604 838542.016,
816897.4208 838542.623,
816898.502 838546.7153,
816899.0993 838549.559,
816899.6965 838552.4026,
816900.7186 838557.269,
816901.7407 838562.1353,
816902.7629 838567.0017,
816903.785 838571.8681,
816904.8071 838576.7344,
816905.8292 838581.6008,
816906.8514 838586.4672,
816907.8735 838591.3335,
816908.8956 838596.1999,
816909.9177 838601.0663,
816910.9399 838605.9326,
816911.962 838610.799,
816912.9841 838615.6654,
816914.0062 838620.5317,
816915.0284 838625.3981,
816916.0505 838630.2645,
816917.0726 838635.1308,
816918.0947 838639.9972,
816919.1169 838644.8636,
816920.139 838649.7299,
816921.1611 838654.5963,
816922.0398 838658.7796,
816922.9184 838662.963,
816923.7971 838667.1463,
816924.6757 838671.3296,
816924.9493 838673.9668,
816925.2228 838676.604,
816925.2228 838676.604,
816925.7176 838681.3748,
816925.7176 838681.3748,
816927.183 838685.7148,
816928.4392 838691.1107,
816929.4962 838695.9162,
816930.5531 838700.7217,
816931.6101 838705.5273,
816932.667 838710.3328,
816933.7239 838715.1383,
816934.7809 838719.9438,
816935.8378 838724.7493,
816936.8947 838729.5548,
816937.9517 838734.3604,
816939.0086 838739.1659,
816940.0656 838743.9714,
816941.1225 838748.7769,
816942.1794 838753.5824,
816943.2364 838758.3879,
816944.2933 838763.1934,
816945.3503 838767.999,
816946.4072 838772.8045,
816947.4641 838777.61,
816948.5211 838782.4155,
816949.578 838787.221,
816950.6349 838792.0265,
816951.6919 838796.8321,
816952.7488 838801.6376,
816953.8058 838806.4431,
816954.8627 838811.2486,
816954.8627 838811.2486,
816955.755 838815.5074,
816955.755 838815.5074,
816956.7035 838820.0346,
816957.2453 838822.5451,
816957.787 838825.0555,
816959.0189 838830.6356,
816960.0971 838835.5038,
816961.1754 838840.372,
816962.2537 838845.2403,
816963.332 838850.1085,
816964.4102 838854.9767,
816965.4885 838859.8449,
816966.5668 838864.7131,
816967.645 838869.5813,
816968.7233 838874.4495,
816969.8016 838879.3178,
816970.8799 838884.186,
816971.9581 838889.0542,
816973.0364 838893.9224,
816973.9089 838898.6653,
816974.7813 838903.4081,
816975.628 838908.0112,
816976.4747 838912.6143,
816977.3215 838917.2175,
816978.1682 838921.8206,
816979.0149 838926.4237,
816980.0875 838931.0129,
816981.16 838935.6021,
816982.2326 838940.1913,
816983.3052 838944.7806,
816984.3778 838949.3698,
816985.4503 838953.959,
816986.5229 838958.5482,
816987.3225 838961.8464,
816988.122 838965.1446,
816988.9216 838968.4428,
816990.3358 838973.1139,
816991.75 838977.785,
816991.75 838977.785,
816993.236 838982.032,
816994.0855 838985.5355,
816994.935 838989.039,
816995.8999 838993.8359,
816996.8647 838998.6329,
816997.8296 839003.4298,
816998.7944 839008.2267,
816999.7593 839013.0236,
817000.7241 839017.8206,
817001.689 839022.6175,
817002.6539 839027.4144,
817003.6187 839032.2114,
817004.5836 839037.0083,
817005.5484 839041.8052,
817006.5133 839046.6021,
817007.4781 839051.3991,
817008.443 839056.196,
817010.9431 839060.4325,
817013.4432 839064.6689,
817015.9432 839068.9054,
817018.4433 839073.1418,
817020.9434 839077.3783,
817023.4435 839081.6147,
817025.9435 839085.8512,
817028.4436 839090.0876,
817030.9437 839094.3241,
817033.8134 839099.1868,
817036.0729 839103.0157,
817038.3325 839106.8445,
817040.592 839110.6733,
817042.8515 839114.5022,
817045.111 839118.331,
817047.5117 839121.903,
817049.9123 839125.475,
817052.313 839129.047,
817054.897 839131.7667,
817057.481 839134.4863,
817060.065 839137.206,
817063.4223 839139.9503,
817066.7797 839142.6947,
817070.137 839145.439,
817073.571 839147.43,
817077.005 839149.421,
817080.439 839151.412,
817084.3495 839152.865,
817088.26 839154.318,
817093.0305 839155.8088,
817097.8009 839157.2995,
