north(m) east(m),
816085.9903 832023.5892,
816087.5214 832020.2328,
816089.0524 832016.8763,
816091.0545 832014.0105,
816093.0566 832011.1448,
816095.0587 832008.279,
816097.669 832005.4267,
816100.2794 832002.5744,
816102.8897 831999.7221,
816105.2161 831997.4054,
816107.5424 831995.0887,
816107.5424 831995.0887,
816110.7409 831991.7641,
816113.9833 831988.8156,
816117.2257 831985.867,
816120.4681 831982.9185,
816123.7105 831979.9699,
816126.9529 831977.0214,
816126.9529 831977.0214,
816129.4647 831973.7754,
816130.6433 831971.5149,
816131.8219 831969.2543,
816131.8219 831969.2543,
816134.1006 831965.3897,
816135.552 831962.6124,
816137.0034 831959.8351,
816138.0228 831957.0508,
816139.0421 831954.2665,
816140.0009 831951.6517,
816140.9596 831949.0368,
816142.3514 831945.1004,
816143.7431 831941.164,
816145.2267 831936.8735,
816146.7104 831932.5829,
816148.194 831928.2924,
816149.362 831924.4573,
816150.5299 831920.6222,
816151.6979 831916.7872,
816152.8658 831912.9521,
816154.0338 831909.117,
816154.8385 831905.0897,
816155.6432 831901.0623,
816156.4478 831897.035,
816157.2525 831893.0076,
816157.9324 831888.7256,
816158.6123 831884.4435,
816158.8814 831880.5498,
816159.1505 831876.656,
816159.4196 831872.7623,
816159.3469 831868.3604,
816159.2742 831863.9585,
816158.5793 831859.4909,
816157.8843 831855.0232,
816157.0816 831851.7351,
816156.2789 831848.4469,
816155.4762 831845.1588,
816153.7793 831840.8844,
816152.0825 831836.61,
816150.3856 831832.3356,
816148.5289 831828.7919,
816146.6722 831825.2481,
816144.1475 831821.2177,
816141.6228 831817.1873,
816138.1095 831813.8411,
816134.5962 831810.4949,
816131.0828 831807.1487,
816127.5695 831803.8025,
816124.0562 831800.4563,
816120.8519 831797.4044,
816117.6475 831794.3525,
816114.4432 831791.3006,
816111.2389 831788.2488,
816108.0346 831785.1969,
816104.8302 831782.145,
816101.6259 831779.0931,
816098.0175 831775.6563,
816094.409 831772.2195,
816090.8006 831768.7827,
816087.1921 831765.3459,
816083.5837 831761.9091,
816079.9753 831758.4723,
816076.3668 831755.0356,
816072.7584 831751.5988,
816069.15 831748.162,
816065.5415 831744.7252,
816061.9331 831741.2884,
816058.3246 831737.8516,
816054.7162 831734.4148,
816051.7502 831732.0229,
816048.7842 831729.6309,
816044.7658 831726.7925,
816040.7473 831723.954,
816036.7289 831721.1156,
816032.6195 831718.8863,
816028.5101 831716.657,
816024.0167 831714.9143,
816019.5232 831713.1716,
816015.0298 831711.4289,
816010.5364 831709.6862,
816006.043 831707.9435,
816001.5495 831706.2008,
815997.0561 831704.4581,
815992.5627 831702.7154,
815988.0692 831700.9727,
815983.5758 831699.23,
815979.0824 831697.4873,
815974.589 831695.7446,
815970.0955 831694.0019,
815965.6021 831692.2592,
815961.436 831691.5217,
815957.2699 831690.7842,
815953.1038 831690.0467,
815948.9377 831689.3092,
815945.1211 831689.7485,
815941.3046 831690.1877,
815937.488 831690.627,
815933.557 831691.813,
815929.626 831692.999,
815925.695 831694.185,
815921.764 831695.371,
815918.2606 831696.2996,
815914.7571 831697.2282,
815911.3714 831697.2251,
815907.9857 831697.2221,
815904.6 831697.219,
815901.6147 831696.9862,
815898.6293 831696.7533,
815895.6337 831696.5197,
815892.638 831696.286,
815889.0937 831695.5933,
815885.5493 831694.9007,
815882.005 831694.208,
815877.9176 831692.0061,
815873.8302 831689.8042,
815869.7429 831687.6024,
815865.6555 831685.4005,
815861.5681 831683.1986,
815861.5681 831683.1986,
815857.994 831679.8892,
815856.582 831676.5578,
815855.17 831673.2263,
815854.3096 831670.0714,
815853.4491 831666.9165,
815853.4491 831666.9165,
815853.2726 831663.0776,
815853.9523 831659.23,
815854.6319 831655.3824,
815855.3116 831651.5348,
815851.9181 831649.2852,
815848.5245 831647.0357,
815845.131 831644.7861,
815841.7374 831642.5365,
