north(m) east(m),
821268.5785 833016.4207,
821270.5785 833011.8564,
821272.5784 833007.2921,
821274.5784 833002.7278,
821276.5784 832998.1635,
821278.5783 832993.5992,
821280.5783 832989.0349,
821283.0814 832985.1971,
821285.5846 832981.3592,
821288.0877 832977.5214,
821289.625 832973.2085,
821291.1623 832968.8956,
821292.6996 832964.5826,
821294.2369 832960.2697,
821295.7741 832955.9568,
821297.3114 832951.6439,
821298.8487 832947.3309,
821300.386 832943.018,
821301.4444 832940.7429,
821302.5028 832938.4677,
821303.7503 832935.0208,
821304.9978 832931.5738,
821306.4035 832927.6857,
821307.8092 832923.7976,
821309.2149 832919.9095,
821310.6206 832916.0214,
821312.0263 832912.1333,
821312.0263 832912.1333,
821313.0258 832909.3687,
821314.8642 832904.8437,
821316.7027 832900.3187,
821318.5411 832895.7938,
821320.3795 832891.2688,
821322.218 832886.7438,
821324.0564 832882.2188,
821325.8948 832877.6938,
821327.7332 832873.1689,
821329.5717 832868.6439,
821331.4101 832864.1189,
821333.0682 832860.0379,
821334.7262 832855.9569,
821336.3843 832851.8759,
821338.0423 832847.7949,
821339.7004 832843.7139,
821341.3584 832839.6329,
821343.0165 832835.5519,
821344.7449 832831.0077,
821346.4732 832826.4635,
821347.8856 832822.75,
821349.298 832819.0365,
821351.5596 832813.247,
821353.1148 832809.3144,
821354.6701 832805.3818,
821354.6701 832805.3818,
821356.2223 832801.457,
821357.9107 832797.1879,
821359.599 832792.9187,
821361.4328 832788.3981,
821363.2666 832783.8776,
821365.1003 832779.357,
821366.9341 832774.8365,
821368.7679 832770.3159,
821370.7415 832766.2371,
821372.7151 832762.1584,
821374.6887 832758.0796,
821376.6623 832754.0009,
821378.6359 832749.9221,
821380.445 832746.3509,
821382.2541 832742.7796,
821384.0632 832739.2084,
821385.8723 832735.6371,
821385.8723 832735.6371,
821387.6912 832732.1978,
821389.9202 832727.9831,
821392.1492 832723.7683,
821394.3781 832719.5536,
821396.6071 832715.3388,
821398.5414 832711.1327,
821400.4756 832706.9266,
821402.4099 832702.7205,
821404.0729 832698.9391,
821405.7359 832695.1577,
821407.399 832691.3762,
821409.062 832687.5948,
821410.725 832683.8134,
821412.3735 832679.4105,
821414.022 832675.0077,
821415.6705 832670.6048,
821416.5706 832666.4975,
821417.4707 832662.3903,
821418.3707 832658.283,
821419.2708 832654.1757,
821421.1401 832649.6995,
821423.0094 832645.2234,
821424.8786 832640.7472,
821426.7479 832636.2711,
821428.6172 832631.7949,
821431.5919 832624.6716,
821433.4738 832620.1653,
821435.3556 832615.6589,
821437.2375 832611.1525,
821439.1194 832606.6461,
821441.0013 832602.1398,
821442.8831 832597.6334,
821444.765 832593.127,
821446.6469 832588.6206,
821448.5288 832584.1143,
821450.4106 832579.6079,
821452.2925 832575.1015,
821454.1744 832570.5951,
821456.0563 832566.0888,
821457.9381 832561.5824,
821459.82 832557.076,
821461.7019 832552.5696,
821463.5838 832548.0633,
821465.4656 832543.5569,
821467.3475 832539.0505,
821469.2294 832534.5441,
821471.1113 832530.0378,
821472.9931 832525.5314,
821474.875 832521.025,
821476.917 832516.4692,
821478.959 832511.9134,
821481.001 832507.3576,
821483.043 832502.8018,
821485.085 832498.246,
821487.0297 832494.6724,
821488.9745 832491.0987,
821490.9192 832487.5251,
821492.864 832483.9514,
821494.8087 832480.3778,
821496.6781 832476.826,
821498.5475 832473.2742,
821500.4169 832469.7224,
821502.0993 832466.6379,
821503.7818 832463.5535,
821505.4642 832460.469,
821507.6538 832457.2316,
821509.8434 832453.9943,
821512.0329 832450.7569,
821514.2225 832447.5195,
821517.4184 832445.1483,
821520.6143 832442.7771,
821522.3969 832438.2832,
821524.1795 832433.7893,
821525.9621 832429.2954,
821527.7448 832424.8016,
821529.5274 832420.3077,
821531.31 832415.8138,
821533.0926 832411.3199,
821534.4191 832408.0774,
821535.7455 832404.8349,
821536.8622 832402.1224,
821537.9789 832399.4098,
821539.7997 832394.8683,
821541.6204 832390.3267,
821543.4412 832385.7852,
821545.2619 832381.2437,
821547.0827 832376.7022,
821548.9035 832372.1606,
821550.7242 832367.6191,
821552.545 832363.0776,
821554.3657 832358.536,
821556.1865 832353.9945,
821558.177 832349.4146,
821560.061 832345.0802,
821561.945 832340.7458,
821563.829 832336.4114,
821565.713 832332.0769,
821567.597 832327.7425,
821569.481 832323.4081,
821571.365 832319.0737,
821573.249 832314.7393,
821575.133 832310.4049,
821577.017 832306.0705,
821578.901 832301.7361,
821580.785 832297.4016,
821582.669 832293.0672,
821584.553 832288.7328,
821586.437 832284.3984,
821588.321 832280.064,
821590.4688 832275.1232,
