north(m) east(m),
816625.239 833115.415,
816625.239 833115.415,
816625.245 833111.813,
816625.3125 833107.2577,
816625.38 833102.7024,
816625.4476 833098.1471,
816625.5151 833093.5918,
816625.5826 833089.0365,
816625.6501 833084.4813,
816625.7176 833079.926,
816625.7851 833075.3707,
816625.8527 833070.8154,
816625.9202 833066.2601,
816625.9877 833061.7048,
816626.1593 833056.9868,
816626.3308 833052.2689,
816626.5024 833047.5509,
816626.6739 833042.8329,
816626.8455 833038.115,
816627.017 833033.397,
816627.3735 833028.6795,
816627.73 833023.9621,
816628.0865 833019.2446,
816628.443 833014.5271,
816628.7995 833009.8097,
816629.156 833005.0922,
816629.5125 833000.3747,
816629.869 832995.6573,
816630.2255 832990.9398,
816630.582 832986.2223,
816630.9385 832981.5049,
816631.295 832976.7874,
816631.5092 832972.0431,
816631.7234 832967.2988,
816631.9376 832962.5545,
816632.1518 832957.8102,
816632.366 832953.0659,
816632.5802 832948.3217,
816632.7943 832943.5774,
816633.0085 832938.8331,
816633.2227 832934.0888,
816633.4369 832929.3445,
816633.6511 832924.6002,
816633.8653 832919.8559,
816634.0813 832915.0706,
816634.2974 832910.2852,
816634.5134 832905.4999,
816634.7295 832900.7146,
816634.9455 832895.9293,
816635.1616 832891.1439,
816635.3776 832886.3586,
816635.4116 832882.9224,
816635.4457 832879.4863,
816635.4797 832876.0501,
816635.5818 832871.3041,
816635.6838 832866.5581,
816635.6838 832866.5581,
816635.6723 832862.9629,
816635.6697 832862.1365,
816635.655 832857.556,
816635.7979 832854.0071,
816635.9407 832850.4582,
816639.5603 832848.7538,
816643.1799 832847.0494,
816646.7995 832845.345,
816646.9804 832841.5136,
816647.1614 832837.6821,
816647.3423 832833.8507,
816647.5232 832830.0192,
816647.5495 832825.5315,
816647.5757 832821.0437,
816647.602 832816.556,
816647.827 832811.6022,
816648.0519 832806.6483,
816648.2769 832801.6945,
816648.5018 832796.7407,
816648.7268 832791.7868,
816648.9518 832786.833,
816649.1767 832781.8792,
816649.4017 832776.9253,
816649.6266 832771.9715,
816649.8516 832767.0177,
816650.0765 832762.0638,
816650.3015 832757.11,
816650.5265 832752.1562,
816650.7514 832747.2023,
816650.9764 832742.2485,
816651.2013 832737.2947,
816651.4263 832732.3408,
816651.6513 832727.387,
816651.8762 832722.4332,
816652.1012 832717.4793,
816652.3261 832712.5255,
816652.5511 832707.5717,
816652.776 832702.6178,
816653.001 832697.664,
816653.298 832693.6437,
816653.595 832689.6233,
816653.892 832685.603,
816654.231 832681.142,
816654.57 832676.6811,
816654.909 832672.2201,
816655.2481 832667.7592,
816655.5871 832663.2982,
816655.9261 832658.8373,
816656.2651 832654.3763,
816656.5225 832648.929,
816656.7442 832643.9504,
816656.966 832638.9719,
816657.1877 832633.9934,
816657.4095 832629.0149,
816657.6312 832624.0363,
816657.853 832619.0578,
816658.0747 832614.0793,
816658.2965 832609.1007,
816658.5182 832604.1222,
816659.3597 832599.5829,
816660.2011 832595.0436,
816661.0426 832590.5043,
816661.884 832585.965,
816661.884 832585.965,
816662.638 832581.6105,
816663.1872 832578.4393,
816663.7363 832575.2681,
816664.9269 832571.9099,
816666.1176 832568.5517,
816667.3082 832565.1935,
816669.369 832561.4384,
816671.4297 832557.6833,
816673.7652 832554.2488,
816676.1006 832550.8142,
816678.1196 832547.8354,
816680.1386 832544.8566,
816682.853 832541.8051,
816685.5674 832538.7537,
816688.2818 832535.7022,
816688.2818 832535.7022,
816689.8354 832534.3759,
816689.8354 832534.3759,
816692.0369 832532.4966,
816695.792 832529.7032,
816699.5471 832526.9098,
816702.4169 832525.1696,
816705.2866 832523.4295,
816708.1564 832521.6893,
816708.1564 832521.6893,
816710.0869 832520.8515,
816710.0869 832520.8515,
816713.747 832519.263,
816717.2177 832518.3167,
816720.6883 832517.3703,
816724.159 832516.424,
816724.159 832516.424,
816726.433 832516.0317,
816732.4511 832514.9936,
816736.651 832514.269,
816740.7083 832514.159,
816744.7657 832514.049,
816748.823 832513.939,
816753.1807 832514.497,
816757.5383 832515.055,
816761.896 832515.613,
816766.067 832516.713,
816770.238 832517.813,
816774.409 832518.913,
816777.88 832520.3237,
816781.351 832521.7343,
816784.822 832523.145,
816788.586 832525.4713,
816792.35 832527.7977,
816796.114 832530.124,
816798.8813 832532.5,
816801.6487 832534.876,
816804.416 832537.252,
816806.63 832539.7627,
816808.844 832542.2733,
816811.058 832544.784,
816813.2317 832547.7013,
816815.4053 832550.6187,
816817.579 832553.536,
816819.4627 832557.012,
816821.3463 832560.488,
816823.23 832563.964,
816824.5937 832567.5633,
816825.9573 832571.1627,
816827.321 832574.762,
816828.1713 832578.7797,
816829.0217 832582.7973,
816829.872 832586.815,
816830.1287 832590.8353,
816830.3853 832594.8557,
816830.642 832598.876,
816830.382 832602.6597,
816830.122 832606.4433,
816829.862 832610.227,
816829.1617 832613.975,
816828.4613 832617.723,
816827.761 832621.471,
816826.3943 832625.34,
816825.0277 832629.209,
816823.661 832633.078,
816822.0805 832637.205,
816820.5 832641.332,
816818.9195 832645.459,
816817.339 832649.586,
816814.76 832653.6101,
816812.1811 832657.6342,
816809.6021 832661.6583,
816807.0231 832665.6825,
816804.4441 832669.7066,
816801.8652 832673.7307,
816799.2862 832677.7548,
816799.391 832681.0598,
816799.4957 832684.3647,
816796.8143 832688.471,
816794.133 832692.5774,
816791.4516 832696.6837,
816788.7703 832700.79,
816786.0889 832704.8964,
816783.4076 832709.0027,
816780.7262 832713.109,
816778.0449 832717.2154,
816775.3635 832721.3217,
816772.6821 832725.428,
816770.0008 832729.5343,
816767.3194 832733.6407,
816764.6381 832737.747,
816761.9567 832741.8533,
816759.2754 832745.9597,
816756.594 832750.066,
816754.367 832753.9926,
816752.14 832757.9191,
816749.913 832761.8457,
816747.686 832765.7723,
816745.459 832769.6989,
816743.232 832773.6254,
816741.005 832777.552,
816739.3001 832781.663,
816737.5951 832785.7739,
816735.8902 832789.8849,
816734.1852 832793.9959,
816732.4803 832798.1068,
816730.7753 832802.2178,
816729.5065 832805.8279,
816728.2378 832809.4379,
816726.969 832813.048,
816725.7278 832816.6572,
816724.4865 832820.2664,
816723.2453 832823.8755,
816722.004 832827.4847,
816720.7479 832832.3181,
816719.4917 832837.1516,
816718.2356 832841.985,
816716.9794 832846.8184,
816716.2226 832850.8039,
816715.4657 832854.7893,
816715.4657 832854.7893,
816714.6132 832859.2781,
816713.9359 832862.8449,
816713.2585 832866.4116,
816712.5812 832869.9784,
816711.8886 832874.3854,
816711.1961 832878.7923,
816710.5035 832883.1993,
816710.0674 832887.6555,
816709.6313 832892.1117,
816709.1953 832896.568,
816708.7592 832901.0242,
816708.3231 832905.4804,
816707.887 832909.9366,
816707.8052 832914.4337,
816707.7235 832918.9308,
816707.6417 832923.4279,
816707.5599 832927.925,
816707.8052 832932.8105,
816708.0505 832937.696,
816708.2958 832942.5814,
816708.5411 832947.4669,
816709.1135 832952.1766,
816709.6858 832956.8863,
816710.2582 832961.5959,
816710.8305 832966.3056,
816711.4029 832971.0153,
816712.4331 832975.5124,
816713.4634 832980.0095,
816714.4936 832984.5066,
816715.5239 832989.0037,
816716.5541 832993.5008,
816718.0395 832997.739,
816719.5249 833001.9771,
816721.0103 833006.2153,
816722.4957 833010.4535,
816723.9811 833014.6916,
816725.4665 833018.9298,
816727.3062 833022.9636,
816729.146 833026.9973,
816730.9857 833031.0311,
816732.8254 833035.0649,
816734.6652 833039.0986,
816736.5049 833043.1324,
816738.827 833047.0408,
816741.1492 833050.9492,
816743.4713 833054.8575,
816745.7935 833058.7659,
816748.1156 833062.6743,
