north(m) east(m),
815582.6544 836620.8679,
815584.4935 836625.3878,
815586.3327 836629.9078,
815588.1719 836634.4278,
815590.011 836638.9478,
815591.8502 836643.4678,
815593.7178 836648.0577,
815595.5854 836652.6475,
815597.0747 836656.4258,
815598.5639 836660.204,
815600.0532 836663.9823,
815601.5424 836667.7605,
815603.2078 836671.9596,
815604.8732 836676.1588,
815606.5385 836680.3579,
815608.2039 836684.557,
815609.8693 836688.7562,
815611.5347 836692.9553,
815613.2 836697.1544,
815614.8654 836701.3536,
815616.5308 836705.5527,
815616.9864 836706.7015,
815617.8125 836709.1797,
815617.9792 836709.6799,
815618.7371 836711.6745,
815620.0559 836715.1449,
815621.3747 836718.6153,
815621.3747 836718.6153,
815622.1712 836720.7114,
815622.1712 836720.7114,
815623.3327 836723.4115,
815624.8094 836728.1295,
815625.9199 836731.9964,
815627.0305 836735.8634,
815628.141 836739.7303,
815629.2516 836743.5973,
815630.3446 836746.6607,
815631.4376 836749.724,
815633.311 836754.3023,
815635.1844 836758.8805,
815637.0578 836763.4588,
815638.9313 836768.0371,
815640.8047 836772.6154,
815642.6781 836777.1936,
815644.5515 836781.7719,
815646.4249 836786.3502,
815648.2983 836790.9284,
815650.1718 836795.5067,
815652.0452 836800.085,
815653.9186 836804.6632,
815655.792 836809.2415,
815657.6654 836813.8198,
815659.5388 836818.3981,
815661.4122 836822.9763,
815663.2857 836827.5546,
815665.1591 836832.1329,
815667.0325 836836.7111,
815668.9059 836841.2894,
815668.5514 836846.1405,
815668.1969 836850.9916,
815667.8424 836855.8427,
815667.8424 836855.8427,
815669.5863 836859.5099,
815669.5863 836859.5099,
815670.5639 836861.5659,
815670.5639 836861.5659,
815671.8553 836864.2815,
815671.8553 836864.2815,
815672.8553 836866.3843,
815677.3902 836869.0984,
815681.1748 836870.2347,
815684.2291 836874.9275,
815686.0695 836879.2559,
815687.9099 836883.5842,
815689.7503 836887.9126,
815691.5907 836892.2409,
815693.4311 836896.5693,
815695.2715 836900.8976,
815696.1151 836903.5488,
815696.9587 836906.1999,
815697.4006 836909.1724,
815697.8424 836912.1449,
815697.9963 836916.4982,
815698.1503 836920.8516,
815698.3042 836925.2049,
815698.4581 836929.5582,
815698.6121 836933.9116,
815698.766 836938.2649,
815698.9085 836941.2811,
815699.0509 836944.2973,
815699.2316 836949.1683,
815699.4123 836954.0393,
815699.593 836958.9103,
815699.7737 836963.7813,
815699.9543 836968.6524,
815700.135 836973.5234,
815700.3157 836978.3944,
815700.4964 836983.2654,
815700.6771 836988.1364,
815700.8578 836993.0074,
815701.0385 836997.8784,
815701.2192 837002.7494,
815701.3999 837007.6204,
815701.5805 837012.4915,
815701.7612 837017.3625,
815701.9419 837022.2335,
815702.1226 837027.1045,
815702.3033 837031.9755,
815702.3539 837035.9989,
815702.4046 837040.0223,
815702.4552 837044.0457,
815702.5058 837048.0691,
815702.5451 837051.193,
815702.5843 837054.3168,
815702.2242 837059.1836,
815701.8642 837064.0504,
815701.5041 837068.9172,
815701.144 837073.784,
815701.144 837073.784,
815700.456 837078.594,
815699.257 837082.4905,
815698.058 837086.387,
815696.507 837091.0481,
815694.9559 837095.7092,
815693.4049 837100.3703,
815691.8538 837105.0314,
815690.3028 837109.6925,
815688.7517 837114.3536,
815687.2007 837119.0147,
815685.6496 837123.6758,
815684.0986 837128.3369,
815682.5475 837132.998,
815680.9965 837137.659,
815679.4454 837142.3201,
815677.8944 837146.9812,
815676.3433 837151.6423,
815674.7923 837156.3034,
815673.2412 837160.9645,
815671.6902 837165.6256,
815670.1391 837170.2867,
815668.5881 837174.9478,
815667.037 837179.6089,
815665.486 837184.27,
815664.1923 837188.7717,
815662.8987 837193.2733,
815661.605 837197.775,
815660.2184 837202.0639,
815658.8318 837206.3527,
815657.4452 837210.6416,
815656.0587 837214.9304,
815654.6721 837219.2193,
815653.2855 837223.5081,
815651.8989 837227.797,
815651.2527 837234.6555,
815649.9748 837238.7804,
815648.6969 837242.9054,
815647.419 837247.0303,
815646.0926 837251.0743,
815644.7661 837255.1183,
815641.1918 837261.2024,
815639.756 837265.2784,
815638.3202 837269.3543,
815636.8844 837273.4303,
815635.4486 837277.5062,
815633.8418 837282.2404,
815632.2349 837286.9747,
815630.6281 837291.7089,
815629.0213 837296.4431,
815627.4144 837301.1774,
815625.8076 837305.9116,
815624.4812 837309.6645,
815623.1547 837313.4173,
815620.243 837316.0055,
815617.3312 837318.5937,
815616.9707 837323.1113,
815616.6102 837327.6288,
815618.0497 837332.0277,
815619.4892 837336.4266,
815620.9287 837340.8255,
815622.3681 837345.2244,
815623.8076 837349.6233,
815625.2471 837354.0222,
815626.6866 837358.4211,
815627.774 837361.7744,
815628.8613 837365.1278,
815629.9487 837368.4811,
815630.5958 837370.9075,
815631.2428 837373.3339,
815632.4866 837377.5403,
815633.7303 837381.7468,
815634.9741 837385.9532,
815636.2178 837390.1596,
815638.4673 837394.6074,
815640.7168 837399.0553,
815642.9663 837403.5031,
815645.4474 837407.5473,
815647.9285 837411.5914,
815650.4097 837415.6356,
815652.8908 837419.6797,
815655.3719 837423.7239,
815657.853 837427.768,
