north(m) east(m),
815299.062 836680.7974,
815300.746 836684.1492,
815302.43 836687.501,
815303.3003 836689.2423,
815304.996 836692.635,
815309.171 836692.2278,
815313.346 836691.8206,
815317.0854 836691.4559,
815320.8249 836691.0911,
815324.5643 836690.7264,
815328.4327 836690.9428,
815332.301 836691.1592,
815336.1694 836691.3756,
815340.0377 836691.592,
815344.6944 836692.078,
815349.351 836692.564,
815354.3272 836692.925,
815359.3033 836693.286,
815364.2795 836693.647,
815369.2557 836694.008,
815374.2318 836694.369,
815379.208 836694.73,
815383.9149 836694.9058,
815388.6219 836695.0817,
815393.3288 836695.2575,
815398.0357 836695.4333,
815402.7426 836695.6091,
815407.4496 836695.785,
815412.1565 836695.9608,
815416.8634 836696.1366,
815416.8634 836696.1366,
815421.1371 836696.4945,
815421.1371 836696.4945,
815424.6955 836698.993,
815428.5568 836699.6744,
815432.418 836700.3557,
815437.2277 836700.6267,
815442.0373 836700.8976,
815446.6728 836701.1588,
815451.3083 836701.4199,
815455.9439 836701.6811,
815460.5794 836701.9422,
815465.2149 836702.2034,
815469.8504 836702.4646,
815474.486 836702.7257,
815479.1215 836702.9869,
815483.757 836703.2481,
815488.3925 836703.5092,
815493.0281 836703.7704,
815497.6636 836704.0315,
815502.2991 836704.2927,
815507.0641 836704.598,
815511.8291 836704.9032,
815516.5941 836705.2085,
815521.3591 836705.5137,
815526.1241 836705.819,
815530.8891 836706.1242,
815535.6541 836706.4295,
815540.4191 836706.7348,
815545.1841 836707.04,
815549.9491 836707.3453,
815554.7141 836707.6505,
815559.4791 836707.9558,
815564.2441 836708.261,
815569.0091 836708.5663,
815573.7741 836708.8715,
815578.5391 836709.1768,
815583.1528 836709.4001,
815587.7665 836709.6233,
815592.0453 836709.2512,
815596.3241 836708.8791,
815600.8262 836708.0978,
815605.3282 836707.3164,
815609.6175 836706.3896,
815613.9067 836705.4628,
815618.196 836704.536,
815622.203 836702.9902,
815626.2099 836701.4444,
815630.2169 836699.8987,
815634.2238 836698.3529,
815638.2308 836696.8071,
815642.2377 836695.2613,
815645.9956 836694.7032,
815649.7536 836694.1451,
815653.5115 836693.587,
815657.2694 836693.0289,
815661.6083 836691.3059,
815665.9472 836689.5829,
815670.2861 836687.86,
815674.6251 836686.137,
815678.964 836684.414,
815683.3029 836682.691,
815687.6418 836680.9681,
815691.9807 836679.2451,
815696.3196 836677.5221,
815700.6586 836675.7991,
815704.9975 836674.0762,
815709.3364 836672.3532,
815713.6753 836670.6302,
815718.1681 836668.8365,
815722.6608 836667.0428,
815727.1536 836665.2491,
815731.6463 836663.4553,
815736.1391 836661.6616,
815740.6318 836659.8679,
815744.9842 836658.1404,
815749.3365 836656.4128,
815749.3985 836656.389,
815751.7292 836655.4849,
815751.7292 836655.4849,
815755.4594 836653.8063,
815755.4594 836653.8063,
815757.9923 836651.7447,
815757.9923 836651.7447,
815762.2671 836651.4338,
815762.2671 836651.4338,
815766.1298 836649.5771,
815769.0514 836647.4601,
815771.973 836645.343,
815773.8652 836643.6449,
815775.7574 836641.9467,
815775.7574 836641.9467,
815779.0566 836638.6475,
815779.0566 836638.6475,
815781.0944 836636.5127,
815781.5371 836636.0297,
815784.2965 836633.0194,
815786.4313 836630.3671,
815788.5661 836627.7148,
815790.7009 836625.0625,
815790.7009 836625.0625,
815792.9328 836621.9573,
815793.9295 836620.6572,
815795.1646 836619.0462,
815795.1646 836619.0462,
815796.8099 836616.9015,
815797.7893 836615.6247,
815799.3221 836613.6266,
815799.3221 836613.6266,
815800.5986 836611.9626,
815803.8979 836608.5178,
815807.1971 836605.073,
815812.0004 836601.0946,
815814.3777 836599.2509,
815817.7255 836597.3102,
815821.0732 836595.3694,
815824.1299 836594.0594,
815827.1865 836592.7494,
815827.1865 836592.7494,
815831.6502 836591.1969,
815831.6502 836591.1969,
815835.6286 836590.5176,
815839.0734 836590.3236,
815842.5182 836590.1295,
815845.2837 836590.1295,
815848.0492 836590.1295,
815848.0492 836590.1295,
815852.707 836590.8087,
815855.23 836591.391,
815857.7529 836591.9732,
815861.974 836593.5743,
815866.195 836595.1753,
815870.222 836597.6983,
815874.249 836600.2212,
815876.9296 836602.5137,
815879.6102 836604.8062,
815879.6102 836604.8062,
815881.4297 836606.4073,
815881.4297 836606.4073,
815883.3219 836608.1539,
815883.3219 836608.1539,
815883.9378 836611.7368,
815885.2491 836613.8795,
815886.5603 836616.0222,
815886.5603 836616.0222,
815888.4152 836619.8599,
815888.4152 836619.8599,
815889.5025 836622.9941,
815890.2061 836626.576,
815890.9097 836630.1578,
815891.0057 836633.26,
815891.1016 836636.3622,
815891.1016 836636.3622,
815890.9097 836640.2639,
815890.0563 836643.0489,
815889.2029 836645.8338,
815888.4051 836649.8548,
815887.6074 836653.8758,
815886.8096 836657.8969,
815886.0119 836661.9179,
815885.2141 836665.9389,
815884.547 836669.7233,
815883.8798 836673.5077,
815883.2127 836677.2921,
815883.0239 836680.5521,
815882.835 836683.812,
815882.835 836687.838,
815882.835 836691.864,
815883.5753 836695.8813,
815884.3157 836699.8987,
815885.056 836703.916,
815886.4807 836707.516,
815887.9053 836711.116,
815889.33 836714.716,
815891.3327 836717.577,
815893.3353 836720.438,
815895.338 836723.299,
815898.321 836726.436,
815901.304 836729.573,
815903.3635 836731.264,
815905.423 836732.955,
815905.423 836732.955,
815909.6354 836735.4827,
815912.3801 836737.1296,
815914.8128 836738.5893,
815917.6188 836740.0459,
815920.1586 836741.3427,
815923.4102 836743.003,
815926.244 836744.45,
815930.5105 836746.795,
815934.777 836749.14,
815937.873 836750.848,
815940.969 836752.556,
815944.3297 836754.7943,
815947.6903 836757.0327,
815951.051 836759.271,
815954.3715 836761.7375,
815957.692 836764.204,
815960.9417 836766.7836,
815964.1914 836769.3632,
815967.441 836771.9427,
815970.6907 836774.5223,
815973.1651 836776.8997,
815975.6396 836779.277,
815978.114 836781.6544,
815980.734 836784.4685,
815983.3539 836787.2825,
815985.9739 836790.0966,
815988.9214 836793.4625,
815991.8689 836796.8285,
815994.8163 836800.1944,
815997.7638 836803.5603,
816000.1433 836806.8179,
816002.5229 836810.0755,
816004.9024 836813.3332,
816007.282 836816.5908,
816009.6615 836819.8484,
816012.792 836821.2933,
816015.9225 836822.7381,
816015.9225 836822.7381,
816018.9419 836825.7573,
816022.1198 836829.3234,
816025.2978 836832.8895,
816028.4757 836836.4556,
816031.7022 836839.6578,
816034.9286 836842.8599,
816038.1551 836846.0621,
816041.5028 836848.9186,
816044.8506 836851.7751,
816048.1983 836854.6316,
816051.546 836857.4881,
816055.3062 836860.472,
816059.0663 836863.4558,
816062.8265 836866.4397,
816065.8634 836868.671,
816068.9003 836870.9022,
816072.5904 836873.3778,
816076.2805 836875.8533,
816079.9706 836878.3289,
816083.6607 836880.8044,
816087.3508 836883.28,
816090.5886 836885.1388,
816093.8264 836886.9976,
816097.0642 836888.8564,
816103.037 836892.1542,
816107.014 836894.35,
816111.6503 836896.05,
816116.2865 836897.75,
816120.9228 836899.45,
816125.559 836901.15,
816129.268 836902.0773,
816132.977 836903.0045,
816136.686 836903.9318,
816140.395 836904.859,
816144.877 836905.7863,
816149.359 836906.7135,
816153.841 836907.6408,
816158.323 836908.568,
816162.6503 836908.877,
816166.9775 836909.186,
816171.3048 836909.495,
816175.632 836909.804,
816179.8562 836909.804,
816184.0803 836909.804,
816188.3045 836909.804,
816192.5287 836909.804,
816196.7528 836909.804,
816200.977 836909.804,
816205.9121 836909.0274,
816210.8472 836908.2507,
816215.7823 836907.4741,
816220.7173 836906.6974,
816225.6524 836905.9208,
816230.5875 836905.1441,
816235.5226 836904.3675,
816240.4577 836903.5909,
816245.3928 836902.8142,
816250.3278 836902.0376,
816255.2629 836901.2609,
816260.198 836900.4843,
816265.1331 836899.7077,
816270.0682 836898.931,
816275.0033 836898.1544,
816279.9383 836897.3777,
816284.8734 836896.6011,
816289.8085 836895.8244,
816294.7436 836895.0478,
816299.6787 836894.2712,
816304.6138 836893.4945,
816309.5488 836892.7179,
816314.4839 836891.9412,
816319.419 836891.1646,
816324.3541 836890.388,
816329.2892 836889.6113,
816334.2243 836888.8347,
816339.1593 836888.058,
816344.0944 836887.2814,
816349.0295 836886.5047,
816353.9646 836885.7281,
816358.8997 836884.9515,
816363.8348 836884.1748,
816368.7698 836883.3982,
816373.7049 836882.6215,
816378.64 836881.8449,
816383.5751 836881.0682,
816388.5102 836880.2916,
816393.4453 836879.515,
816398.3803 836878.7383,
816403.3154 836877.9617,
816408.2505 836877.185,
816413.1856 836876.4084,
816418.1207 836875.6318,
816423.0558 836874.8551,
816427.9908 836874.0785,
816432.9259 836873.3018,
816437.861 836872.5252,
816442.7961 836871.7485,
816447.7312 836870.9719,
816452.6663 836870.1953,
816457.6013 836869.4186,
816462.5364 836868.642,
816467.4715 836867.8653,
816472.4066 836867.0887,
816477.3417 836866.312,
816482.2768 836865.5354,
816487.2118 836864.7588,
816492.1469 836863.9821,
816497.082 836863.2055,
816502.0171 836862.4288,
816506.9522 836861.6522,
816511.8873 836860.8756,
816516.8223 836860.0989,
816521.7574 836859.3223,
816526.6925 836858.5456,
816531.6276 836857.769,
816536.5627 836856.9923,
816541.4978 836856.2157,
816546.4328 836855.4391,
816551.3679 836854.6624,
816556.303 836853.8858,
816561.2381 836853.1091,
816566.1732 836852.3325,
816571.1083 836851.5559,
816576.0433 836850.7792,
816580.9784 836850.0026,
816585.9135 836849.2259,
816590.8486 836848.4493,
816595.7837 836847.6726,
816600.7188 836846.896,
816605.6538 836846.1194,
816610.5889 836845.3427,
816615.524 836844.5661,
816620.4591 836843.7894,
816625.3942 836843.0128,
816630.3293 836842.2361,
816635.2643 836841.4595,
816640.1994 836840.6829,
816645.1345 836839.9062,
