north(m) east(m),
817885.6182 835406.2971,
817885.6182 835406.2971,
817882.289 835403.7497,
817882.289 835403.7497,
817878.9522 835402.0918,
817878.9522 835402.0918,
817876.5216 835400.8842,
817872.9253 835399.9111,
817869.329 835398.9379,
817865.8645 835398.9379,
817862.4 835398.9379,
817857.5882 835399.6116,
817852.7763 835400.2852,
817850.2024 835401.9187,
817847.6285 835403.5522,
817843.9354 835404.1118,
817840.2422 835404.6713,
817836.5491 835405.2309,
817832.9574 835406.0108,
817829.3657 835406.7906,
817825.774 835407.5705,
817821.6533 835408.491,
817817.5326 835409.4115,
817812.8539 835410.3512,
817808.1752 835411.2909,
817803.4966 835412.2306,
817798.8179 835413.1703,
817794.1392 835414.11,
817789.4605 835415.0496,
817784.7819 835415.9893,
817780.1032 835416.929,
817775.4245 835417.8687,
817770.7458 835418.8084,
817766.0672 835419.7481,
817761.3885 835420.6878,
817756.7098 835421.6275,
817752.0311 835422.5672,
817747.3525 835423.5069,
817742.6738 835424.4465,
817737.9951 835425.3862,
817733.3164 835426.3259,
817728.6378 835427.2656,
817723.9591 835428.2053,
817719.2804 835429.145,
817714.7946 835430.0373,
817710.3087 835430.9297,
817705.8229 835431.822,
817701.3371 835432.7144,
817696.8512 835433.6067,
817692.3654 835434.4991,
817687.8796 835435.3914,
817683.3937 835436.2838,
817678.9079 835437.1761,
817674.2472 835438.1159,
817669.5865 835439.0556,
817664.9258 835439.9954,
817660.2651 835440.9352,
817655.6045 835441.875,
817650.9438 835442.8147,
817646.2831 835443.7545,
817641.6224 835444.6943,
817636.9617 835445.634,
817632.301 835446.5738,
817627.5134 835447.5392,
817622.7257 835448.5045,
817617.9381 835449.4699,
817613.1505 835450.4353,
817608.3628 835451.4006,
817603.5752 835452.366,
817598.7876 835453.3314,
817593.9999 835454.2967,
817589.2123 835455.2621,
817584.3149 835456.2496,
817579.4175 835457.2371,
817574.5201 835458.2246,
817569.6227 835459.2121,
817564.7626 835460.1921,
817559.9024 835461.1721,
817555.0423 835462.1521,
817550.1822 835463.132,
817545.3221 835464.112,
817540.4619 835465.092,
817535.6018 835466.072,
817530.7858 835467.0946,
817525.9698 835468.1171,
817521.1537 835469.1397,
817516.3377 835470.1622,
817511.5217 835471.1848,
817506.7057 835472.2074,
817501.8896 835473.2299,
817497.0736 835474.2525,
817492.2576 835475.275,
817487.4416 835476.2976,
817482.6255 835477.3201,
817477.8095 835478.3427,
817473.4406 835479.2233,
817469.0716 835480.104,
817464.7027 835480.9846,
817460.3337 835481.8652,
817455.9648 835482.7459,
817451.5958 835483.6265,
817447.0085 835484.7172,
817442.4212 835485.8079,
817437.8339 835486.8986,
817433.2466 835487.9893,
817428.6593 835489.08,
817424.072 835490.1706,
817419.4847 835491.2613,
817414.8974 835492.352,
817410.3101 835493.4427,
817405.7228 835494.5334,
817401.4895 835495.0182,
817397.2561 835495.5029,
817393.0641 835495.9829,
817388.8721 835496.4629,
817384.6801 835496.9429,
817380.488 835497.4229,
817376.296 835497.9029,
817372.104 835498.3829,
817367.3182 835499.3971,
817362.5325 835500.4113,
817357.7467 835501.4255,
817352.9609 835502.4396,
817348.1751 835503.4538,
817343.3894 835504.468,
817338.6036 835505.4822,
817333.926 835506.3622,
817329.2485 835507.2422,
817324.5709 835508.1222,
817319.8934 835509.0022,
817315.2158 835509.8822,
817310.5383 835510.7622,
817305.8607 835511.6422,
817301.3554 835512.5832,
817296.8501 835513.5242,
817292.3448 835514.4652,
817289.3165 835515.1661,
817286.2882 835515.867,
817287.1326 835520.5297,
817287.977 835525.1924,
817288.8213 835529.8552,
817289.6657 835534.5179,
817290.5101 835539.1806,
817291.3545 835543.8433,
817292.1988 835548.5061,
817293.0432 835553.1688,
817293.8876 835557.8315,
817294.732 835562.4942,
817295.5763 835567.157,
817296.4207 835571.8197,
817297.2651 835576.4824,
817298.1095 835581.1451,
817298.9538 835585.8079,
817299.7982 835590.4706,
817300.6426 835595.1333,
817302.8881 835598.2343,
817305.1337 835601.3353,
817307.3792 835604.4362,
817309.6247 835607.5372,
817311.3932 835609.5405,
817313.1616 835611.5438,
817313.1616 835611.5438,
817315.6983 835613.5253,
817315.6983 835613.5253,
817318.0936 835614.894,
817318.0936 835614.894,
817320.9165 835615.6639,
817320.9165 835615.6639,
817325.0226 835616.5193,
817329.6579 835616.729,
817334.2933 835616.9386,
817338.9286 835617.1483,
817343.4571 835615.9378,
817347.9856 835614.7273,
817352.5142 835613.5169,
817357.0427 835612.3064,
817361.5712 835611.0959,
817366.0997 835609.8854,
817370.6283 835608.675,
817375.1568 835607.4645,
817379.6853 835606.254,
817384.3065 835605.0423,
817388.9277 835603.8306,
817393.5488 835602.619,
817398.17 835601.4073,
817402.7912 835600.1956,
817407.0399 835599.2713,
817411.2886 835598.347,
817415.5374 835597.4228,
817419.7861 835596.4985,
817424.0348 835595.5742,
817428.2835 835594.6499,
817430.4348 835592.9528,
817432.586 835591.2557,
817436.0572 835590.2639,
817439.5283 835589.2721,
817442.4773 835588.5506,
817445.4263 835587.829,
817450.2462 835586.6497,
817455.066 835585.4703,
817459.281 835584.4786,
817463.496 835583.4868,
817468.1615 835582.196,
817472.827 835580.9052,
817477.4925 835579.6143,
817482.158 835578.3235,
817486.1449 835577.4726,
817490.1318 835576.6217,
817494.1186 835575.7708,
817498.1055 835574.9199,
817502.8675 835573.5843,
817507.6294 835572.2486,
817512.3914 835570.913,
817517.1533 835569.5774,
817521.9153 835568.2418,
