north(m) east(m),
818401.3789 834522.6975,
818397.0108 834520.7469,
818392.6427 834518.7962,
818388.2747 834516.8456,
818383.9066 834514.895,
818379.5386 834512.9443,
818375.1705 834510.9937,
818370.8024 834509.0431,
818366.4344 834507.0924,
818362.0663 834505.1418,
818357.6983 834503.1912,
818353.3302 834501.2406,
818348.9621 834499.2899,
818344.5941 834497.3393,
818340.226 834495.3887,
818335.858 834493.438,
818331.4899 834491.4874,
818327.8133 834489.8461,
818324.1367 834488.2048,
818320.46 834486.5634,
818316.7834 834484.9221,
818313.1068 834483.2808,
818313.1068 834483.2808,
818308.9723 834481.4351,
818308.9723 834481.4351,
818304.739 834479.0832,
818304.739 834479.0832,
818302.3871 834475.7906,
818302.3871 834475.7906,
818299.8001 834471.7925,
818299.2122 834469.0879,
818298.6242 834466.3832,
818297.4682 834463.0809,
818296.3122 834459.7786,
818295.1562 834456.4763,
818293.9504 834452.7279,
818292.7445 834448.9795,
818291.6625 834444.7501,
818290.5804 834440.5206,
818289.4984 834436.2912,
818288.4164 834432.0618,
818287.3344 834427.8324,
818286.2523 834423.6029,
818285.1703 834419.3735,
818281.1887 834416.883,
818277.2072 834414.3925,
818273.2256 834411.902,
818269.2441 834409.4115,
818265.2625 834406.921,
818261.2809 834404.4305,
818257.2994 834401.94,
818253.3178 834399.4495,
818249.3362 834396.959,
818245.3547 834394.4685,
818241.3731 834391.978,
818237.3916 834389.4875,
818233.41 834386.997,
818229.8046 834383.7631,
818226.1991 834380.5293,
818222.5937 834377.2954,
818218.9883 834374.0616,
818215.3829 834370.8277,
818211.7774 834367.5939,
818208.172 834364.36,
818204.5843 834360.9826,
818200.9966 834357.6051,
818197.4088 834354.2277,
818193.8211 834350.8502,
818190.2334 834347.4728,
818186.6457 834344.0953,
818183.0579 834340.7179,
818179.4702 834337.3404,
818175.8825 834333.963,
818172.2948 834330.5855,
818168.707 834327.2081,
818165.1193 834323.8306,
818161.5316 834320.4532,
818157.9439 834317.0757,
818154.3561 834313.6983,
818150.7684 834310.3209,
818147.1807 834306.9434,
818143.593 834303.566,
818140.0053 834300.1885,
818136.4175 834296.8111,
818132.8298 834293.4336,
818129.2421 834290.0562,
818125.6544 834286.6787,
818122.0666 834283.3013,
818118.4789 834279.9238,
818114.8912 834276.5464,
818111.3035 834273.1689,
818107.7157 834269.7915,
818104.128 834266.414,
818100.5403 834263.0366,
818096.9526 834259.6591,
818093.3649 834256.2817,
818089.7771 834252.9043,
818086.1894 834249.5268,
818082.6017 834246.1494,
818079.014 834242.7719,
818075.4262 834239.3945,
818071.8385 834236.017,
818068.2508 834232.6396,
818064.6631 834229.2621,
818061.0753 834225.8847,
818057.4876 834222.5072,
818053.8999 834219.1298,
818050.3122 834215.7523,
818046.7244 834212.3749,
818043.1367 834208.9974,
818039.549 834205.62,
818036.1482 834202.6466,
818032.7474 834199.6732,
818029.3466 834196.6998,
818025.9458 834193.7264,
818022.545 834190.753,
818018.9191 834187.5674,
818015.2933 834184.3818,
818011.6674 834181.1962,
818008.4294 834178.3514,
818005.733 834175.9824,
818002.4007 834173.3078,
817999.0685 834170.6333,
817995.7362 834167.9587,
817991.9874 834165.0649,
817988.2386 834162.1711,
817984.4898 834159.2773,
817980.741 834156.3835,
817976.9922 834153.4897,
817973.2434 834150.5959,
817969.4946 834147.7021,
817965.7458 834144.8083,
817962.0463 834141.7994,
817958.3469 834138.7905,
817954.6474 834135.7816,
817950.948 834132.7727,
817947.2485 834129.7638,
817943.549 834126.7549,
817939.8496 834123.746,
817936.1501 834120.7371,
817932.3596 834117.5159,
817928.5691 834114.2946,
817924.7786 834111.0734,
817920.9881 834107.8521,
817917.1976 834104.6309,
817913.407 834101.4096,
817909.6165 834098.1884,
817905.826 834094.9672,
817902.0355 834091.7459,
817898.245 834088.5247,
817894.4545 834085.3034,
817890.664 834082.0822,
817886.8735 834078.8609,
817883.083 834075.6397,
817879.2925 834072.4185,
817875.5019 834069.1972,
817871.7114 834065.976,
817867.9209 834062.7547,
817864.1304 834059.5335,
817860.3399 834056.3122,
817856.5494 834053.091,
817852.7589 834049.8697,
817848.9684 834046.6485,
817845.1779 834043.4273,
817841.3874 834040.206,
817837.5968 834036.9848,
817833.8063 834033.7635,
817830.0158 834030.5423,
817826.2253 834027.321,
817822.4348 834024.0998,
817818.6579 834020.8389,
817814.881 834017.5781,
817811.1041 834014.3172,
817807.3271 834011.0564,
817803.5502 834007.7955,
817799.7733 834004.5347,
817795.9964 834001.2738,
817792.2195 833998.0129,
817788.4426 833994.7521,
817784.6657 833991.4912,
817780.8888 833988.2304,
817777.1118 833984.9695,
817773.3349 833981.7087,
817769.558 833978.4478,
817765.7811 833975.187,
817762.0042 833971.9261,
817758.2273 833968.6652,
817754.4504 833965.4044,
817750.6734 833962.1435,
817746.8965 833958.8827,
817743.1196 833955.6218,
817739.3427 833952.361,
817735.5658 833949.1001,
817731.7889 833945.8392,
817728.012 833942.5784,
817724.235 833939.3175,
817720.4581 833936.0567,
817716.6812 833932.7958,
817712.9043 833929.535,
817709.1274 833926.2741,
817705.3505 833923.0133,
817701.5736 833919.7524,
817697.7967 833916.4915,
817694.0197 833913.2307,
817690.2428 833909.9698,
817686.4659 833906.709,
817682.689 833903.4481,
817678.9121 833900.1873,
817675.1352 833896.9264,
817671.3583 833893.6655,
817667.5813 833890.4047,
817663.8044 833887.1438,
817660.0275 833883.883,
817656.2506 833880.6221,
817652.4737 833877.3613,
817648.6968 833874.1004,
817644.9199 833870.8395,
817641.1429 833867.5787,
817637.366 833864.3178,
817633.5891 833861.057,
817629.8122 833857.7961,
817626.0353 833854.5353,
817622.2584 833851.2744,
817618.4815 833848.0136,
817614.7046 833844.7527,
817610.9276 833841.4918,
817607.1507 833838.231,
817603.3738 833834.9701,
817599.5969 833831.7093,
817595.82 833828.4484,
817592.0431 833825.1876,
817588.2662 833821.9267,
817584.4892 833818.6658,
817580.7123 833815.405,
817576.9354 833812.1441,
817573.1585 833808.8833,
817569.3816 833805.6224,
817565.6047 833802.3616,
817561.8278 833799.1007,
817558.0508 833795.8398,
817554.2739 833792.579,
817550.497 833789.3181,
817546.7201 833786.0573,
817542.9432 833782.7964,
817539.1663 833779.5356,
817535.3894 833776.2747,
817531.6125 833773.0139,
817527.8355 833769.753,
817524.0586 833766.4921,
817520.2817 833763.2313,
817516.5048 833759.9704,
817512.7279 833756.7096,
817508.951 833753.4487,
817505.1741 833750.1879,
817501.3971 833746.927,
817497.6202 833743.6661,
817493.8433 833740.4053,
817490.0664 833737.1444,
817486.2895 833733.8836,
817482.5126 833730.6227,
817478.7357 833727.3619,
817474.9587 833724.101,
817471.1818 833720.8402,
817467.4049 833717.5793,
817463.628 833714.3184,
817459.8511 833711.0576,
817456.0742 833707.7967,
817452.2973 833704.5359,
817448.5204 833701.275,
817444.7434 833698.0142,
817440.9665 833694.7533,
817437.1896 833691.4924,
817433.4127 833688.2316,
817429.6358 833684.9707,
817425.8589 833681.7099,
817422.082 833678.449,
817418.305 833675.1882,
817414.5281 833671.9273,
817410.7512 833668.6664,
817406.9743 833665.4056,
817403.1974 833662.1447,
817399.4205 833658.8839,
817395.6436 833655.623,
817391.8666 833652.3622,
817388.0897 833649.1013,
817384.3128 833645.8405,
817380.5359 833642.5796,
817376.759 833639.3187,
817372.9821 833636.0579,
817369.2052 833632.797,
817365.4283 833629.5362,
817361.6513 833626.2753,
817357.8744 833623.0145,
817354.0975 833619.7536,
817350.3206 833616.4927,
817346.5437 833613.2319,
817342.7668 833609.971,
817338.9899 833606.7102,
817335.2129 833603.4493,
817331.436 833600.1885,
817327.6591 833596.9276,
817323.8822 833593.6668,
817320.1053 833590.4059,
817316.3284 833587.145,
817312.5515 833583.8842,
817308.7745 833580.6233,
817304.9976 833577.3625,
817301.2207 833574.1016,
817297.4438 833570.8408,
817293.6669 833567.5799,
817289.89 833564.319,
817286.1131 833561.0582,
817282.3362 833557.7973,
817278.5592 833554.5365,
817274.7823 833551.2756,
817271.0054 833548.0148,
817267.2285 833544.7539,
817263.4516 833541.493,
817259.6747 833538.2322,
817255.8978 833534.9713,
817252.1208 833531.7105,
817248.3439 833528.4496,
817244.567 833525.1888,
817240.7901 833521.9279,
817237.0132 833518.6671,
817233.2363 833515.4062,
817229.4594 833512.1453,
817225.6824 833508.8845,
817221.9055 833505.6236,
817218.1286 833502.3628,
817214.3517 833499.1019,
817210.5748 833495.8411,
817206.7979 833492.5802,
817203.021 833489.3193,
817199.2441 833486.0585,
817195.4671 833482.7976,
817191.6902 833479.5368,
817187.9133 833476.2759,
817184.1364 833473.0151,
817180.3595 833469.7542,
817176.5826 833466.4933,
817172.8057 833463.2325,
817169.0287 833459.9716,
817165.2518 833456.7108,
817161.4749 833453.4499,
817157.698 833450.1891,
817153.9211 833446.9282,
817150.1442 833443.6674,
817146.3673 833440.4065,
817142.5903 833437.1456,
817138.8134 833433.8848,
817135.0365 833430.6239,
817131.2596 833427.3631,
817127.4827 833424.1022,
817123.7058 833420.8414,
817119.9289 833417.5805,
817116.152 833414.3196,
817112.375 833411.0588,
817108.5981 833407.7979,
817104.8212 833404.5371,
817101.0443 833401.2762,
817097.2674 833398.0154,
817093.4905 833394.7545,
817089.7136 833391.4937,
817085.9366 833388.2328,
817082.1597 833384.9719,
817078.3828 833381.7111,
817074.6059 833378.4502,
817070.829 833375.1894,
817067.0521 833371.9285,
817063.2752 833368.6677,
817059.4982 833365.4068,
817055.7213 833362.1459,
817051.9444 833358.8851,
817048.1675 833355.6242,
817044.3906 833352.3634,
817040.6137 833349.1025,
817036.8368 833345.8417,
817033.0599 833342.5808,
817029.2829 833339.3199,
817025.506 833336.0591,
817021.7291 833332.7982,
817017.9522 833329.5374,
817014.1753 833326.2765,
817010.3984 833323.0157,
817006.6215 833319.7548,
817002.8445 833316.494,
816999.0676 833313.2331,
816995.2907 833309.9722,
816991.5138 833306.7114,
816987.7369 833303.4505,
816983.96 833300.1897,
816980.1831 833296.9288,
816976.4061 833293.668,
816972.6292 833290.4071,
816968.8523 833287.1462,
816965.0754 833283.8854,
816961.2985 833280.6245,
816957.5216 833277.3637,
816953.7447 833274.1028,
816949.9678 833270.842,
816946.1908 833267.5811,
816942.4139 833264.3202,
816938.637 833261.0594,
816934.8601 833257.7985,
816931.0832 833254.5377,
816927.3063 833251.2768,
816923.5294 833248.016,
816919.7524 833244.7551,
816915.9755 833241.4943,
816912.1986 833238.2334,
816908.4217 833234.9725,
816904.6448 833231.7117,
816900.8679 833228.4508,
816897.091 833225.19,
816893.314 833221.9291,
816889.5371 833218.6683,
816885.7602 833215.4074,
816881.9833 833212.1465,
816878.2064 833208.8857,
816874.4295 833205.6248,
816870.6526 833202.364,
816866.8757 833199.1031,
816863.0987 833195.8423,
816859.3218 833192.5814,
816855.5449 833189.3206,
816851.768 833186.0597,
816847.9911 833182.7988,
816844.2142 833179.538,
816840.4373 833176.2771,
816836.6603 833173.0163,
816832.8834 833169.7554,
816829.1065 833166.4946,
816825.3296 833163.2337,
816821.9699 833160.4013,
816818.6103 833157.5689,
816815.2506 833154.7366,
816811.8909 833151.9042,
816808.5313 833149.0718,
816805.1716 833146.2394,
816800.0698 833142.0043,
816796.4025 833138.9784,
816792.7351 833135.9526,
816789.0678 833132.9267,
816785.7676 833129.9735,
816782.4674 833127.0202,
816779.1672 833124.067,
816775.867 833121.1138,
816772.5668 833118.1605,
816769.2666 833115.2073,
816766.265 833112.1814,
816763.2633 833109.1556,
816760.2617 833106.1297,
816757.26 833103.1038,
816754.2584 833100.078,
816751.2567 833097.0521,
816748.4326 833093.7842,
816745.6084 833090.5163,
816742.7843 833087.2484,
816739.9602 833083.9804,
816737.136 833080.7125,
816734.3119 833077.4446,
816731.9517 833073.9709,
816729.5916 833070.4972,
816727.2314 833067.0235,
816724.8712 833063.5498,
816722.7894 833060.1286,
816720.7076 833056.7073,
816718.6258 833053.2861,
816716.5117 833049.1064,
816714.3977 833044.9267,
816712.2836 833040.747,
816710.4674 833036.5795,
816708.6512 833032.4119,
816706.835 833028.2444,
816705.0188 833024.0768,
816703.4866 833019.9185,
816701.9545 833015.7602,
816700.4223 833011.6019,
816699.3006 833007.6513,
816698.1789 833003.7007,
816697.0572 832999.75,
816695.9355 832995.7994,
816694.8138 832991.8488,
816694.0528 832987.5562,
816693.2918 832983.2637,
816692.5308 832978.9711,
816691.9756 832974.5757,
816691.4205 832970.1804,
816690.8653 832965.785,
816690.6048 832960.9759,
816690.3442 832956.1668,
816690.0837 832951.3577,
816689.8231 832946.5486,
816689.5626 832941.7395,
816689.6014 832937.5669,
816689.6402 832933.3942,
816689.679 832929.2216,
816689.7178 832925.0489,
816689.7566 832920.8763,
816690.1251 832916.0726,
816690.4936 832911.2689,
816690.8621 832906.4652,
816691.2305 832901.6614,
816691.599 832896.8577,
816691.9675 832892.054,
816692.331 832887.3159,
816692.6944 832882.5779,
816693.0579 832877.8398,
816693.743 832873.3122,
816694.4281 832868.7845,
816695.1132 832864.2569,
816695.7983 832859.7292,
816696.3694 832855.9554,
816696.9404 832852.1815,
816697.5115 832848.4077,
816698.0825 832844.6338,
816699.0294 832840.7815,
816699.9764 832836.9292,
816700.9233 832833.0769,
816701.906 832829.0793,
816702.8887 832825.0816,
816704.3183 832820.5794,
816705.7479 832816.0772,
816707.1774 832811.575,
816708.607 832807.0728,
816710.3051 832802.6797,
816712.0033 832798.2866,
816713.7014 832793.8935,
816715.3996 832789.5003,
816717.0977 832785.1072,
816718.7959 832780.7141,
816720.494 832776.321,
816722.3567 832772.4026,
816724.2195 832768.4842,
816726.0822 832764.5657,
816727.945 832760.6473,
816729.8077 832756.7289,
816732.0472 832752.6887,
816734.2866 832748.6485,
816736.5261 832744.6084,
816738.7655 832740.5682,
816741.005 832736.528,
816743.4032 832732.736,
816745.8013 832728.944,
816748.1995 832725.152,
816750.5977 832721.36,
816752.9958 832717.568,
816755.394 832713.776,
816758.5492 832710.0574,
816761.7043 832706.3388,
816764.8595 832702.6202,
816768.0147 832698.9015,
816771.1698 832695.1829,
816774.325 832691.4643,
816777.3538 832687.5361,
816780.3826 832683.6079,
816783.4114 832679.6797,
816786.4402 832675.7515,
816789.469 832671.8233,
816792.1903 832667.6428,
816794.9117 832663.4623,
816797.633 832659.2818,
816800.3543 832655.1013,
816803.0757 832650.9208,
816805.797 832646.7403,
816807.4534 832642.9067,
816809.1098 832639.0731,
816810.7662 832635.2395,
816812.4226 832631.4059,
816814.079 832627.5723,
816815.2017 832622.7862,
816816.3243 832618.0001,
816817.447 832613.214,
816817.7561 832609.1784,
816818.0652 832605.1429,
816818.3743 832601.1073,
816818.6834 832597.0717,
816818.3606 832592.7469,
816818.0377 832588.422,
816817.7149 832584.0972,
816817.392 832579.7723,
816815.7357 832575.4343,
816814.0793 832571.0963,
816812.423 832566.7583,
816810.2933 832563.1296,
816808.1637 832559.501,
816806.034 832555.8723,
816803.6677 832553.033,
816801.3013 832550.1936,
816798.935 832547.3543,
816795.864 832544.7888,
816792.793 832542.2233,
816789.8575 832539.8478,
816786.922 832537.4723,
816784.4315 832535.8758,
816781.941 832534.2793,
816778.7255 832532.6828,
816775.51 832531.0863,
816772.744 832529.8988,
816769.978 832528.7113,
816766.1575 832527.6343,
816762.337 832526.5573,
816758.351 832525.7778,
816754.365 832524.9983,
816749.769 832524.9038,
816745.173 832524.8093,
816742.2438 832525.1182,
816739.3146 832525.4271,
816739.3146 832525.4271,
816736.8279 832525.6893,
816731.334 832526.8673,
816727.348 832527.8863,
816722.752 832529.6473,
816718.156 832531.4083,
816715.6655 832532.8358,
816713.175 832534.2633,
816713.161 832534.2714,
816709.404 832536.4493,
816705.5835 832539.0643,
816701.763 832541.6793,
816698.717 832544.5748,
816695.671 832547.4703,
816695.671 832547.4703,
816692.4433 832550.7149,
816692.4361 832550.7221,
816690.14 832553.0303,
816687.2045 832556.8873,
816684.269 832560.7443,
816682.4385 832564.8233,
816680.608 832568.9023,
816679.6625 832572.5033,
816678.717 832576.1043,
816678.4165 832579.508,
816678.1159 832582.9116,
816677.9833 832588.3318,
816677.9542 832592.5792,
816677.9252 832596.8265,
816677.8961 832601.0738,
816678.3846 832605.3784,
816678.873 832609.6831,
816679.3615 832613.9877,
816679.9954 832617.6885,
816680.6293 832621.3894,
816681.2632 832625.0902,
816682.8137 832629.7842,
816684.3642 832634.4782,
816685.4309 832637.8055,
816686.4975 832641.1329,
816687.5642 832644.4602,
816688.7112 832648.6512,
816689.8582 832652.8422,
816691.0052 832657.0332,
816691.9457 832659.7057,
816692.8862 832662.3782,
816694.3812 832666.5527,
816695.8762 832670.7272,
816696.7565 832674.4725,
816697.6369 832678.2179,
816698.5172 832681.9632,
816699.4042 832685.9475,
816700.2912 832689.9319,
816701.1782 832693.9162,
816701.6949 832698.3189,
816702.2115 832702.7215,
816702.7282 832707.1242,
816702.8657 832711.3252,
816703.0032 832715.5262,
816703.1407 832719.7272,
816703.2782 832723.9282,
816703.1382 832727.7127,
816702.9982 832731.4972,
816702.8582 832735.2817,
816702.7182 832739.0662,
816702.8172 832741.9427,
816702.9162 832744.8192,
816702.8877 832749.6528,
816702.8592 832754.4865,
816702.8306 832759.3201,
816702.8021 832764.1537,
816702.2946 832768.9142,
816701.7871 832773.6747,
816701.2796 832778.4352,
816700.772 832783.1957,
816700.2645 832787.9562,
816699.757 832792.7167,
816699.2495 832797.4772,
816698.742 832802.2376,
816698.2345 832806.9981,
816697.727 832811.7586,
816697.2194 832816.5191,
816696.7119 832821.2796,
816696.2044 832826.0401,
816695.6969 832830.8006,
816695.429 832834.7599,
816695.161 832838.7192,
816694.8931 832842.6785,
816694.6016 832846.9864,
816694.3101 832851.2943,
816694.0185 832855.6021,
816693.727 832859.91,
816689.4834 832861.2392,
816685.2398 832862.5684,
816685.2398 832862.5684,
816681.2813 832862.4079,
816677.5408 832862.2563,
816673.8002 832862.1047,
816668.8577 832861.9043,
816665.3584 832861.7625,
816661.8591 832861.6206,
816657.3026 832861.436,
